Name,Team,Conference,Position,Class,IP,BF,ERA,FIP+,K%-BB%,K%,BB%,HR%
Conner Benitez,Houghton,Empire 8,P,Jr.,25.1,144.0,4.81,122.0,6.37,18.1,11.8,1.45
Chris Gross,Houghton,Empire 8,P,Sr.,25.7,138.0,5.04,117.0,3.39,20.3,16.9,1.14
Mark Lewandowski,Houghton,Empire 8,P,Sr.,15.3,93.0,4.91,120.0,4.67,17.6,12.9,0.95
Aiden Talcott,Houghton,Empire 8,P,Sr.,46.5,222.0,4.59,128.0,3.82,14.7,10.9,1.15
Nate Tyler,Houghton,Empire 8,P,Sr.,33.0,154.0,3.9,151.0,8.95,17.1,8.1,1.08
He Zhang,Houghton,Empire 8,P,Sr.,24.0,142.0,5.04,117.0,5.39,17.2,11.8,1.45
Benjamin Agnew,Southern Va.,USA South,P,Sr.,30.0,168.0,6.04,97.0,1.97,13.8,11.9,2.49
Carson Bybee,Southern Va.,USA South,P,Sr.,37.6,200.0,4.97,118.0,2.85,14.0,11.2,1.53
Javari Christopher,Southern Va.,USA South,P,Sr.,15.2,80.0,5.8,101.0,5.72,15.2,9.5,3.07
Zack Geertsen,Southern Va.,USA South,P,Jr.,65.6,301.0,4.2,140.0,4.78,13.0,8.2,1.14
Jeffrey Hill,Southern Va.,USA South,P,Jr.,31.0,163.0,5.02,117.0,2.87,14.8,11.9,1.38
Brady Steelman,Southern Va.,USA South,P,Jr.,15.2,92.0,5.79,102.0,3.26,14.8,11.6,2.18
Daniel Aviles,SUNY Canton,SUNYAC,P,Jr.,23.6,138.0,4.54,130.0,3.49,15.1,11.6,0.71
AJ Campi,SUNY Canton,SUNYAC,P,Jr.,15.0,100.0,7.2,82.0,3.49,15.7,12.2,3.31
Javier Chico,SUNY Canton,SUNYAC,P,Jr.,21.9,128.0,6.55,90.0,2.46,13.9,11.4,3.12
Keegan Franklin,SUNY Canton,SUNYAC,P,Sr.,21.6,112.0,5.01,117.0,5.21,14.6,9.4,1.94
Lucas Gravlin,SUNY Canton,SUNYAC,P,So.,17.0,118.0,5.48,107.0,4.43,15.1,10.7,1.27
Maxwell Rose,SUNY Canton,SUNYAC,P,Jr.,23.9,131.0,5.54,106.0,6.64,17.7,11.0,2.8
Bradley Demoss,Valley Forge,United East,P,Jr.,17.2,105.0,4.37,135.0,5.35,14.9,9.5,0.89
Albert Fernandez,Valley Forge,United East,P,So.,16.0,97.0,5.24,112.0,5.16,15.5,10.4,1.7
CJ Fernandez,Valley Forge,United East,P,So.,37.1,206.0,4.4,134.0,3.78,14.4,10.6,0.75
Evan Hammersley,Valley Forge,United East,P,So.,20.2,123.0,5.25,112.0,4.91,15.3,10.4,1.56
Aaron Zapata,Valley Forge,United East,P,Jr.,15.1,68.0,4.23,139.0,5.3,16.4,11.1,1.04
Jordan Hughes,Alfred St.,AMCC,P,So.,34.0,145.0,3.9,151.0,7.25,17.5,10.2,0.88
Daniel Lewis,Alfred St.,AMCC,P,Jr.,29.1,138.0,4.36,135.0,6.69,17.4,10.7,1.45
Nathan Lucks,Alfred St.,AMCC,P,Jr.,32.2,163.0,5.21,113.0,4.72,14.0,9.2,2.32
Caleb Wilson,Alfred St.,AMCC,P,Jr.,20.1,100.0,4.34,135.0,6.55,16.1,9.5,1.35
Spencer Blackwell,Berea,HCAC,P,Jr.,42.0,219.0,4.97,118.0,3.72,12.8,9.1,1.92
Aidan Blaszkowski,Berea,HCAC,P,Jr.,10.2,62.0,4.96,119.0,5.8,16.4,10.6,1.55
Noah Madrid,Berea,HCAC,P,Jr.,18.8,97.0,4.35,135.0,5.76,16.5,10.8,1.04
Grabiel Martinez,Berea,HCAC,P,So.,27.1,162.0,4.98,118.0,2.82,16.4,13.6,0.84
Wilmer Moran,Berea,HCAC,P,So.,11.6,86.0,6.4,92.0,0.57,14.3,13.7,1.05
Ty Palmgren,Berea,HCAC,P,Jr.,14.1,79.0,6.31,93.0,3.84,15.5,11.7,3.18
Peter Torbicki,Berea,HCAC,P,So.,20.0,92.0,4.39,134.0,8.07,18.2,10.2,1.77
Joseph Belflower,Illinois Tech,NACC,P,Sr.,28.9,152.0,4.48,131.0,5.72,15.3,9.5,1.05
Cameron Bracewell,Illinois Tech,NACC,P,Sr.,58.2,269.0,4.5,131.0,10.41,19.7,9.3,2.15
Gabriel Kotwasinski,Illinois Tech,NACC,P,So.,14.1,81.0,5.25,112.0,6.19,16.7,10.5,2.15
Austin Schnurr,Illinois Tech,NACC,P,Sr.,16.5,94.0,6.6,89.0,3.45,13.9,10.4,3.33
Phil Trojanowski,Illinois Tech,NACC,P,Jr.,24.9,127.0,5.4,109.0,5.31,15.4,10.1,2.69
Carson Weis,Illinois Tech,NACC,P,So.,34.2,196.0,4.37,135.0,5.62,15.8,10.2,1.02
Mason Balfanz,Penn College,United East,P,Jr.,20.9,110.0,5.26,112.0,4.83,16.9,12.1,2.02
Rowan Gorsuch,Penn College,United East,P,So.,11.0,66.0,5.02,117.0,5.45,16.6,11.1,1.52
Ethan Hannevig,Penn College,United East,P,Sr.,49.1,235.0,5.19,113.0,5.92,15.3,9.4,2.54
McGwire Heverly,Penn College,United East,P,Sr.,16.1,100.0,4.56,129.0,5.96,17.7,11.8,0.76
Weston McClain,Penn College,United East,P,So.,13.0,78.0,4.78,123.0,4.99,16.6,11.6,1.09
Sam Staib,Penn College,United East,P,Jr.,20.5,88.0,5.18,114.0,9.14,17.4,8.3,3.7
Griffin Vollman,Penn College,United East,P,Jr.,39.7,192.0,4.42,133.0,4.12,15.2,11.0,1.0
Parker White,Penn College,United East,P,Sr.,14.8,73.0,3.99,147.0,6.91,17.3,10.4,0.62
Ben Bates,Adrian,Michigan Intercol. Ath. Assn.,P,Jr.,14.5,70.0,4.25,138.0,6.59,17.1,10.5,1.07
Jaxon Clark,Adrian,Michigan Intercol. Ath. Assn.,P,Sr.,72.0,311.0,3.96,148.0,8.57,16.0,7.4,1.53
Parker Faris,Adrian,Michigan Intercol. Ath. Assn.,P,So.,15.0,69.0,4.55,129.0,7.27,17.1,9.8,1.87
Amrbose Horwath,Adrian,Michigan Intercol. Ath. Assn.,P,Jr.,28.9,132.0,4.31,136.0,4.41,13.7,9.3,1.11
Landon Kozlowski,Adrian,Michigan Intercol. Ath. Assn.,P,Jr.,41.8,181.0,4.15,142.0,7.24,16.1,8.9,1.32
Sean Parker,Adrian,Michigan Intercol. Ath. Assn.,P,So.,23.1,103.0,4.12,143.0,8.39,18.3,9.9,1.33
Broc Shoemaker,Adrian,Michigan Intercol. Ath. Assn.,P,Sr.,20.1,96.0,3.82,154.0,8.98,17.5,8.5,1.07
Ian Balint,Albion,Michigan Intercol. Ath. Assn.,P,Sr.,12.6,68.0,5.01,117.0,7.3,17.6,10.3,1.56
Daniel Bruzdewicz,Albion,Michigan Intercol. Ath. Assn.,P,Sr.,35.0,167.0,4.03,146.0,6.48,14.9,8.4,0.8
Vinny Cooney,Albion,Michigan Intercol. Ath. Assn.,P,So.,15.2,83.0,4.76,124.0,5.61,16.4,10.8,1.43
Cole Giesige,Albion,Michigan Intercol. Ath. Assn.,P,Sr.,61.2,261.0,3.42,172.0,14.33,23.7,9.4,1.26
Zak Kelly,Albion,Michigan Intercol. Ath. Assn.,P,Sr.,20.9,97.0,5.18,114.0,7.1,16.7,9.6,2.57
Brendan Schultz,Albion,Michigan Intercol. Ath. Assn.,P,Jr.,31.0,141.0,3.87,152.0,7.7,18.0,10.4,0.78
Josh Wooden,Albion,Michigan Intercol. Ath. Assn.,P,So.,12.2,81.0,5.08,116.0,6.29,16.3,10.0,1.44
Patrick Ahearn,Albright,MAC Commonwealth,P,Jr.,19.9,84.0,3.98,148.0,8.52,16.6,8.1,1.33
J.D. Graziano,Albright,MAC Commonwealth,P,Jr.,17.0,76.0,4.66,126.0,6.35,15.6,9.3,2.06
Landyn Shaw,Albright,MAC Commonwealth,P,So.,17.0,74.0,4.29,137.0,7.32,17.3,10.0,1.52
Josh Tudor,Albright,MAC Commonwealth,P,Sr.,30.2,147.0,4.51,130.0,8.13,17.4,9.2,1.97
Colby Yaich,Albright,MAC Commonwealth,P,Sr.,17.7,88.0,4.16,141.0,4.94,15.5,10.5,0.8
Parker McRay,Allegheny,PAC,P,So.,25.2,128.0,4.3,137.0,7.74,19.4,11.6,1.23
Brett McSparran,Allegheny,PAC,P,Jr.,10.1,47.0,4.41,133.0,7.38,16.8,9.4,1.66
Ben Shields,Allegheny,PAC,P,Jr.,25.0,115.0,4.35,135.0,8.06,17.8,9.7,1.61
Dawson Thomas,Allegheny,PAC,P,Jr.,39.7,178.0,4.19,140.0,7.06,15.4,8.3,1.24
Kevin Eden,DeSales,MAC Freedom,P,So.,18.1,91.0,4.5,131.0,6.57,17.6,11.0,1.39
Joe Ficoturo,DeSales,MAC Freedom,P,So.,41.0,194.0,4.4,134.0,7.92,16.7,8.8,1.28
Owen Geng,DeSales,MAC Freedom,P,Jr.,13.6,74.0,5.86,100.0,4.62,15.9,11.3,2.84
Kyle Hart,DeSales,MAC Freedom,P,Sr.,12.5,64.0,3.8,155.0,8.52,17.2,8.6,0.66
Michael Hooker,DeSales,MAC Freedom,P,Sr.,46.4,214.0,4.22,139.0,7.13,14.9,7.8,1.66
Greg Jessup,DeSales,MAC Freedom,P,Sr.,32.4,162.0,3.86,152.0,10.25,20.1,9.8,1.08
Andrew McGowan,DeSales,MAC Freedom,P,Sr.,16.4,86.0,5.35,110.0,6.3,17.2,10.9,2.34
Zach Rothermel,DeSales,MAC Freedom,P,Sr.,22.6,111.0,4.44,132.0,5.34,15.9,10.6,0.87
Danny Trentacosta,DeSales,MAC Freedom,P,So.,10.2,49.0,4.22,139.0,7.23,17.4,10.2,1.22
Cameron Bleasdale,Alma,Michigan Intercol. Ath. Assn.,P,Sr.,11.0,51.0,4.06,145.0,7.03,16.5,9.5,1.01
Tommy Ches,Alma,Michigan Intercol. Ath. Assn.,P,So.,17.0,81.0,4.15,142.0,7.74,17.7,10.0,1.08
Ken Fistler,Alma,Michigan Intercol. Ath. Assn.,P,Sr.,21.6,104.0,4.3,137.0,5.8,15.3,9.5,0.65
Cole Grunwald,Alma,Michigan Intercol. Ath. Assn.,P,Sr.,25.6,130.0,4.43,133.0,6.67,16.3,9.6,1.5
Ryan Koob,Alma,Michigan Intercol. Ath. Assn.,P,Jr.,18.2,95.0,4.51,130.0,6.89,19.0,12.1,1.34
Evan Litwiller,Alma,Michigan Intercol. Ath. Assn.,P,Sr.,22.0,90.0,4.62,127.0,7.88,17.4,9.5,2.38
Jack McIntosh,Alma,Michigan Intercol. Ath. Assn.,P,So.,61.4,274.0,5.06,116.0,4.46,12.3,7.8,2.52
Tyler Sparks,Alma,Michigan Intercol. Ath. Assn.,P,So.,34.1,149.0,3.87,152.0,7.09,15.7,8.6,0.87
Cade Sutherland,Alma,Michigan Intercol. Ath. Assn.,P,So.,41.2,193.0,4.4,134.0,7.75,18.4,10.7,1.54
Josh West,Alma,Michigan Intercol. Ath. Assn.,P,Sr.,19.2,93.0,4.69,125.0,4.74,16.3,11.5,1.24
Adrian Caron,Amherst,NESCAC,P,Jr.,13.4,67.0,5.25,112.0,6.43,16.6,10.2,2.48
Yoon Chae,Amherst,NESCAC,P,Jr.,29.9,137.0,4.53,130.0,6.42,16.6,10.1,1.74
Weslley De Oliveira,Amherst,NESCAC,P,Jr.,15.2,67.0,4.22,139.0,8.04,17.9,9.8,1.51
Walker Dellinger,Amherst,NESCAC,P,So.,21.2,102.0,5.29,111.0,6.75,18.4,11.6,2.66
Nick Fassert,Amherst,NESCAC,P,So.,55.1,235.0,4.12,143.0,7.1,15.9,8.8,1.39
Naaveen Narayanan,Amherst,NESCAC,P,Sr.,22.2,102.0,4.22,139.0,5.43,17.2,11.7,1.1
EJ Nevills,Amherst,NESCAC,P,Jr.,37.5,173.0,4.05,145.0,7.82,18.7,10.9,0.88
Ben Smith,Amherst,NESCAC,P,Sr.,47.4,212.0,3.07,192.0,16.25,25.0,8.7,0.93
Matt Tabet,Amherst,NESCAC,P,Jr.,27.9,138.0,4.93,119.0,5.09,14.9,9.8,2.03
Jesse Buonocore,Anna Maria,MASCAC,P,So.,33.0,165.0,4.81,122.0,7.71,19.0,11.3,1.93
Sean Christiansen,Anna Maria,MASCAC,P,Sr.,20.1,115.0,4.58,128.0,6.37,17.3,11.0,1.17
Conor Francesconi,Anna Maria,MASCAC,P,Sr.,24.9,128.0,5.12,115.0,2.58,15.4,12.8,1.56
Christopher Reardon,Anna Maria,MASCAC,P,So.,14.1,74.0,4.52,130.0,5.44,16.9,11.5,1.11
Quinn Salvi,Anna Maria,MASCAC,P,So.,14.1,71.0,4.59,128.0,6.61,17.5,10.9,1.49
Owen Sullivan,Anna Maria,MASCAC,P,Jr.,48.6,238.0,3.89,151.0,10.16,21.8,11.7,0.91
Francesco De Vivo,Anna Maria,MASCAC,P,So.,23.1,109.0,4.34,135.0,5.19,16.4,11.2,0.98
Dylan Adams,Augsburg,MIAC,P,Jr.,12.0,64.0,4.8,123.0,6.25,16.8,10.6,1.53
Nick Allbee,Augsburg,MIAC,P,Jr.,13.7,75.0,4.84,121.0,5.56,16.4,10.9,1.64
Austin Lang,Augsburg,MIAC,P,Sr.,43.3,203.0,3.92,150.0,8.3,17.1,8.8,1.02
Jake Pittelkow,Augsburg,MIAC,P,Sr.,34.3,165.0,3.78,156.0,9.8,19.1,9.3,0.82
Vincent Rupp,Augsburg,MIAC,P,Sr.,31.0,150.0,4.55,129.0,8.14,16.5,8.3,1.94
Caleb Tays,Augsburg,MIAC,P,Jr.,29.2,139.0,4.56,129.0,7.04,16.7,9.6,1.83
Manny Weiss,Augsburg,MIAC,P,Sr.,37.5,179.0,4.08,144.0,6.92,16.0,9.1,1.15
Jack Buckalew,Augustana (IL),CCIW,P,Jr.,15.1,69.0,4.38,134.0,6.62,16.9,10.2,1.5
Chance Carruthers,Augustana (IL),CCIW,P,Sr.,39.2,188.0,4.05,145.0,9.44,19.0,9.6,1.45
Brian Fischer,Augustana (IL),CCIW,P,Sr.,32.1,149.0,3.77,156.0,8.42,17.5,9.0,0.94
Ethan McGraw,Augustana (IL),CCIW,P,So.,40.1,188.0,4.19,140.0,8.5,17.2,8.7,1.56
Edgar Barba,Aurora,NACC,P,Sr.,23.6,127.0,4.35,135.0,5.84,17.7,11.8,0.93
Anthony Consiglio,Aurora,NACC,P,Sr.,26.0,119.0,4.19,140.0,8.43,17.2,8.7,1.61
Conner Hogan,Aurora,NACC,P,Jr.,77.0,311.0,3.32,177.0,10.17,17.3,7.2,0.71
Mason Ishii,Aurora,NACC,P,Sr.,37.1,170.0,4.14,142.0,7.49,15.9,8.5,1.3
Joey Pettit,Aurora,NACC,P,Sr.,30.4,144.0,4.21,140.0,9.12,18.3,9.2,1.65
Brandon Todd,Aurora,NACC,P,Jr.,40.2,185.0,4.4,134.0,4.98,15.1,10.1,1.28
Ean Amerson,Averett,ODAC,P,So.,44.2,227.0,4.29,137.0,7.23,17.3,10.0,1.41
Will Green II,Averett,ODAC,P,Jr.,14.0,69.0,4.57,129.0,5.93,16.4,10.4,1.5
Corbin Mickle,Averett,ODAC,P,So.,40.1,199.0,4.77,123.0,6.34,15.1,8.7,2.01
Cade Sabin,Averett,ODAC,P,So.,22.0,101.0,4.66,126.0,7.07,16.2,9.2,2.01
Jack Turner,Averett,ODAC,P,Jr.,10.2,60.0,4.52,130.0,5.59,16.2,10.7,1.08
Maddox Warren,Averett,ODAC,P,So.,25.0,115.0,4.38,134.0,5.83,15.6,9.8,1.28
Chase Burrows,Babson,NEWMAC,P,So.,47.0,185.0,3.79,155.0,7.33,14.9,7.6,1.05
James Clark,Babson,NEWMAC,P,Sr.,44.3,201.0,4.39,134.0,6.51,17.4,10.9,1.48
Connor Doan,Babson,NEWMAC,P,Sr.,24.2,109.0,4.75,124.0,6.03,14.0,8.0,2.08
Jason Finkelstein,Babson,NEWMAC,P,Jr.,54.6,244.0,4.19,140.0,7.78,17.5,9.7,1.47
Dillon James,Babson,NEWMAC,P,So.,18.0,94.0,4.91,120.0,6.75,16.9,10.1,2.05
Zander Teator,Babson,NEWMAC,P,Sr.,18.3,77.0,3.8,155.0,10.9,19.8,8.9,1.39
Jake Heatherington,Baldwin Wallace,OAC,P,Jr.,29.8,129.0,3.64,162.0,11.93,22.2,10.3,1.01
Brit Kostura,Baldwin Wallace,OAC,P,Sr.,42.2,168.0,3.64,162.0,9.16,19.1,9.9,1.01
Matt Moscarino,Baldwin Wallace,OAC,P,Jr.,41.4,182.0,4.23,139.0,8.06,17.4,9.4,1.63
Tyler Walker,Baldwin Wallace,OAC,P,Sr.,45.9,214.0,4.86,121.0,8.22,18.0,9.8,2.43
Charlie Bushley,Bates,NESCAC,P,So.,22.1,106.0,4.09,144.0,6.95,16.9,9.9,0.99
Charlie Cariello,Bates,NESCAC,P,So.,19.1,85.0,4.6,128.0,7.7,17.8,10.1,2.12
Kenny Carlisle,Bates,NESCAC,P,Jr.,22.1,108.0,4.41,133.0,6.88,18.7,11.8,1.27
Nolan Hobbs,Bates,NESCAC,P,Jr.,20.6,101.0,4.5,131.0,7.13,17.7,10.5,1.52
Diego Sarabia,Bates,NESCAC,P,Sr.,42.0,201.0,4.68,126.0,7.25,18.1,10.8,1.89
John Tully,Bates,NESCAC,P,Sr.,32.9,157.0,4.6,128.0,3.38,15.6,12.2,1.18
Caleb Lasher,Beloit,MWC,P,Sr.,24.9,117.0,4.97,118.0,8.89,17.2,8.3,2.85
Ben Schweit,Beloit,MWC,P,Jr.,72.8,325.0,3.36,175.0,11.63,19.4,7.8,0.86
Erick Tiegs,Beloit,MWC,P,Jr.,37.0,163.0,4.49,131.0,7.82,16.9,9.1,2.01
Calvin Adam,Baruch,CUNYAC,P,So.,22.1,142.0,6.11,96.0,4.55,15.9,11.4,2.35
Joseph Bello,Baruch,CUNYAC,P,Sr.,16.8,77.0,3.99,147.0,7.11,17.2,10.1,0.95
Ryan Foerst,Baruch,CUNYAC,P,Jr.,23.0,125.0,4.64,127.0,4.63,16.3,11.6,1.09
John Kim,Baruch,CUNYAC,P,So.,65.0,303.0,3.99,147.0,5.67,15.3,9.6,0.8
Andrew LaPointe,Baruch,CUNYAC,P,So.,42.0,212.0,4.56,129.0,7.81,17.4,9.5,1.95
Benjamin Norwood,Baruch,CUNYAC,P,Jr.,23.0,113.0,4.81,122.0,5.43,16.1,10.7,1.71
Luis Sanchez,Baruch,CUNYAC,P,Sr.,13.1,71.0,5.35,110.0,4.66,15.3,10.7,2.06
Troy Vigilis,Baruch,CUNYAC,P,So.,26.0,112.0,4.06,145.0,8.09,17.2,9.1,1.29
Sonny Peluchette,Bethany (WV),PAC,P,Sr.,35.3,165.0,4.18,141.0,5.92,16.3,10.4,1.15
Payton Zupko,Bethany (WV),PAC,P,Sr.,13.2,69.0,4.28,137.0,6.65,18.8,12.2,0.96
Mark Anderson,Bethel (MN),MIAC,P,So.,48.0,208.0,3.82,154.0,8.46,18.6,10.2,0.99
Cavan Banks,Bethel (MN),MIAC,P,Jr.,36.0,148.0,4.01,147.0,9.25,20.2,10.9,1.44
Jackson Hunter,Bethel (MN),MIAC,P,Jr.,50.8,225.0,4.96,119.0,6.2,17.0,10.8,2.6
Roman Lachenmayer,Bethel (MN),MIAC,P,So.,27.2,117.0,4.23,139.0,7.9,17.5,9.6,1.59
C. Bultema,Blackburn,SLIAC,P,So.,25.1,121.0,4.39,134.0,6.69,15.2,8.5,1.64
Royce Congi,Blackburn,SLIAC,P,Jr.,28.0,143.0,4.25,138.0,7.14,16.3,9.2,1.12
C. Frede,Blackburn,SLIAC,P,So.,21.0,100.0,4.34,135.0,6.29,16.5,10.2,1.35
John Wolf,Blackburn,SLIAC,P,Jr.,20.0,104.0,4.54,130.0,7.53,16.7,9.1,1.68
Will Bordes,Bowdoin,NESCAC,P,Sr.,17.1,79.0,3.99,147.0,7.26,16.3,9.1,0.85
R. Gately,Bowdoin,NESCAC,P,So.,21.9,99.0,4.12,143.0,7.57,16.6,9.0,1.18
Luca McKerley Coronado,Bowdoin,NESCAC,P,Sr.,36.2,165.0,4.24,139.0,7.82,17.0,9.2,1.54
Jackson Melendy,Bowdoin,NESCAC,P,Sr.,21.1,95.0,4.15,142.0,9.41,19.5,10.1,1.37
Alex Saavedra,Bowdoin,NESCAC,P,Sr.,21.1,96.0,4.73,124.0,5.42,15.4,10.0,1.79
S. Sacerdote,Bowdoin,NESCAC,P,So.,25.9,118.0,4.5,131.0,7.54,16.8,9.3,1.81
Keni Franck,Brandeis,UAA,P,So.,10.2,60.0,4.57,129.0,8.44,19.0,10.5,1.55
Cooper Gavin,Brandeis,UAA,P,Sr.,16.9,85.0,4.63,127.0,8.17,18.3,10.2,1.72
Malcolm Hsu,Brandeis,UAA,P,Sr.,21.1,98.0,4.84,121.0,6.77,15.3,8.5,2.39
Brady Lane,Brandeis,UAA,P,So.,23.0,102.0,4.32,136.0,8.15,17.8,9.6,1.67
Rohan Shah,Brandeis,UAA,P,So.,28.1,145.0,4.54,130.0,6.39,16.9,10.5,1.46
Jack Sweeney,Brandeis,UAA,P,So.,13.9,69.0,4.88,120.0,6.97,17.2,10.2,2.17
Andrew Tringe,Brandeis,UAA,P,Jr.,43.6,211.0,4.31,136.0,9.73,19.1,9.4,1.74
Andrew Baugher,Bridgewater (VA),ODAC,P,Sr.,28.3,133.0,4.44,132.0,6.29,14.9,8.6,1.61
Evan Bert,Bridgewater (VA),ODAC,P,Sr.,53.0,257.0,4.27,138.0,5.01,16.9,11.9,0.71
Matthew Bishop,Bridgewater (VA),ODAC,P,So.,21.0,92.0,3.82,154.0,9.7,20.2,10.5,1.04
Lucas Cash,Bridgewater (VA),ODAC,P,Sr.,39.2,187.0,4.29,137.0,8.21,18.3,10.1,1.57
