Name,Team,Conference,Position,Class,IP,BF,ERA,FIP+,K%-BB%,K%,BB%,HR%
Joe Agrusti,Notre Dame (MD),United East,P,So.,31.1,176.0,5.35,110.0,3.75,14.1,10.4,1.87
Zane Cook,Notre Dame (MD),United East,P,Sr.,10.0,51.0,4.38,134.0,5.79,16.5,10.7,1.01
Kevin Dantzig,Notre Dame (MD),United East,P,So.,11.0,60.0,5.23,112.0,5.65,16.4,10.7,1.94
Brennan Deremeik,Notre Dame (MD),United East,P,So.,32.0,178.0,4.82,122.0,3.79,15.4,11.7,1.07
Rhys Eder,Notre Dame (MD),United East,P,So.,32.2,172.0,4.69,125.0,5.49,15.6,10.1,1.35
Ryan Parks,Notre Dame (MD),United East,P,So.,12.2,61.0,4.31,136.0,6.42,16.8,10.3,1.16
Ian Strickland,Notre Dame (MD),United East,P,So.,36.1,195.0,4.52,130.0,6.06,15.8,9.8,1.27
Cade Bruett,UW-River Falls,WIAC,P,So.,37.1,181.0,4.68,126.0,5.11,15.5,10.4,1.58
Dillon Carrell,UW-River Falls,WIAC,P,So.,15.0,82.0,5.57,106.0,4.79,15.6,10.8,2.49
Jackson Conway,UW-River Falls,WIAC,P,So.,29.2,153.0,4.75,124.0,5.65,15.6,10.0,1.43
William Eckstein,UW-River Falls,WIAC,P,So.,14.2,81.0,5.48,107.0,4.88,16.1,11.2,2.15
Shaun Gavin,UW-River Falls,WIAC,P,So.,36.1,168.0,5.08,116.0,6.94,16.1,9.1,2.73
Carter Klein,UW-River Falls,WIAC,P,So.,11.1,58.0,4.76,124.0,6.34,17.1,10.8,1.56
EJ Kuster,UW-River Falls,WIAC,P,So.,13.2,76.0,4.84,121.0,6.06,16.7,10.6,1.46
Caydon Lomas,UW-River Falls,WIAC,P,So.,12.2,68.0,4.94,119.0,6.01,15.9,9.9,1.88
Isaac Mens,UW-River Falls,WIAC,P,So.,18.1,88.0,4.74,124.0,7.13,16.7,9.5,2.1
Parker Nedland,UW-River Falls,WIAC,P,So.,20.0,96.0,4.74,124.0,6.52,16.6,10.1,2.04
John Santelman,UW-River Falls,WIAC,P,So.,12.2,73.0,5.75,102.0,5.97,15.9,9.9,2.58
Evan Senobe,UW-River Falls,WIAC,P,So.,14.0,82.0,5.18,114.0,6.21,17.9,11.7,1.79
Brett Sullivan,UW-River Falls,WIAC,P,Sr.,16.2,95.0,6.91,85.0,4.64,15.4,10.8,3.86
Kaleb Zabielski,UW-River Falls,WIAC,P,So.,20.1,84.0,4.36,135.0,7.2,16.8,9.6,1.77
Jack Barrett,Geneva,PAC,P,So.,13.2,73.0,5.24,112.0,6.29,16.8,10.5,2.21
Cayden Cribbs,Geneva,PAC,P,Jr.,11.4,60.0,5.39,109.0,4.68,15.3,10.6,2.17
Eric Keaton,Geneva,PAC,P,Sr.,33.4,163.0,3.96,148.0,7.43,17.2,9.8,0.91
Jake McFarland,Geneva,PAC,P,Sr.,26.1,139.0,5.5,107.0,3.57,14.8,11.2,2.34
Dylan Rowe,Geneva,PAC,P,Jr.,37.8,175.0,4.27,138.0,5.14,14.3,9.2,1.31
Mason Smith,Geneva,PAC,P,So.,36.1,186.0,4.39,134.0,6.04,15.7,9.6,1.24
Paulie Brosious,Lancaster Bible,United East,P,Sr.,14.2,98.0,6.1,96.0,3.82,16.3,12.5,1.78
Landon Johnson,Lancaster Bible,United East,P,Jr.,32.2,150.0,4.56,129.0,3.83,14.3,10.4,1.32
Noah Robinette,Lancaster Bible,United East,P,Jr.,44.0,220.0,5.71,103.0,4.97,14.0,9.0,2.61
Evan Sareyka,Lancaster Bible,United East,P,Sr.,28.0,149.0,6.47,91.0,2.29,14.0,11.7,3.43
Dylan Witkowski,Lancaster Bible,United East,P,Sr.,35.2,189.0,6.43,91.0,6.83,16.2,9.4,3.86
Zach Barrett,Covenant,CCS,P,Jr.,39.6,194.0,5.03,117.0,8.16,17.5,9.4,2.49
Brady Daniell,Covenant,CCS,P,So.,14.0,67.0,4.51,130.0,6.49,16.5,10.1,1.51
Jonathan Glover,Covenant,CCS,P,Jr.,28.4,138.0,3.77,156.0,8.42,18.1,9.6,0.75
Ethan Goebert,Covenant,CCS,P,Jr.,30.9,153.0,4.07,144.0,8.02,16.4,8.3,1.24
Jake Schock,Covenant,CCS,P,Jr.,25.2,124.0,4.67,126.0,4.47,14.6,10.2,1.45
Christian Vander Veen,Covenant,CCS,P,So.,25.0,139.0,4.96,119.0,7.68,18.8,11.1,2.08
Mike Adelizzi,Penn St.-Abington,United East,P,Jr.,11.1,65.0,4.8,123.0,6.06,16.4,10.4,1.53
Derek Aub,Penn St.-Abington,United East,P,Jr.,18.8,94.0,4.61,128.0,7.32,16.1,8.8,1.89
Nick Benson,Penn St.-Abington,United East,P,Sr.,30.8,150.0,4.51,130.0,7.08,17.9,10.8,1.61
Aaron Clark,Penn St.-Abington,United East,P,Jr.,16.0,85.0,4.16,141.0,5.47,17.8,12.3,0.4
Nate DeCristofaro,Penn St.-Abington,United East,P,Jr.,27.8,144.0,5.23,112.0,3.72,15.9,12.1,1.91
Zachary Dennis,Penn St.-Abington,United East,P,So.,15.1,83.0,4.43,133.0,5.82,17.0,11.2,0.98
Evan Hughes,Penn St.-Abington,United East,P,Sr.,48.2,219.0,3.96,148.0,7.76,17.8,10.1,0.76
Cade Michalski,Penn St.-Abington,United East,P,So.,13.2,75.0,4.61,128.0,5.48,16.3,10.8,1.1
Mike Nasti,Penn St.-Abington,United East,P,So.,41.0,204.0,4.14,142.0,6.26,15.8,9.5,1.0
James Torpey,Penn St.-Abington,United East,P,Jr.,52.1,246.0,4.83,122.0,7.57,16.0,8.4,2.61
Connor Woodson,Penn St.-Abington,United East,P,Sr.,12.1,73.0,5.09,116.0,7.15,16.6,9.5,2.03
Jack Wright,Penn St.-Abington,United East,P,Jr.,26.1,133.0,4.27,138.0,6.71,16.3,9.6,1.16
