Name,Team,Conference,Position,Class,IP,BF,ERA,FIP+,K%-BB%,K%,BB%,HR%
Sammy Viani,Fairmont St.,MEC,P,So.,13.2,75.0,5.81,101.0,7.18,17.8,10.6,3.07
Harold Boyce,Point Park,MEC,P,Jr.,62.2,260.0,3.57,165.0,10.3,18.6,8.3,1.06
Harold Boyce,Point Park,MEC,P,So.,62.2,260.0,3.57,165.0,10.3,18.6,8.3,1.06
Brandon Clifford,Point Park,MEC,P,Sr.,34.2,162.0,4.99,118.0,3.79,14.1,10.3,1.73
Logan Creamer,Point Park,MEC,P,Jr.,16.1,74.0,5.04,117.0,5.96,17.0,11.1,2.38
Sam Georgiana,Point Park,MEC,P,Sr.,31.4,149.0,4.87,121.0,6.63,16.0,9.4,2.44
Ethan Parker,Point Park,MEC,P,Jr.,58.0,252.0,4.85,121.0,7.49,16.3,8.8,2.82
Ramon Rodriguez,Point Park,MEC,P,Sr.,52.2,226.0,3.89,151.0,11.11,20.6,9.4,1.6
Joey Tedesco,Point Park,MEC,P,Sr.,10.2,58.0,6.49,91.0,7.06,18.2,11.1,3.93
Caden Ammon,Findlay,G-MAC,P,So.,14.2,81.0,4.77,123.0,7.07,18.6,11.5,1.58
Colin Becker,Findlay,G-MAC,P,Sr.,34.3,166.0,5.59,105.0,6.16,17.6,11.4,3.02
Connor Evanich,Findlay,G-MAC,P,Sr.,14.4,79.0,4.87,121.0,3.8,15.4,11.6,1.2
Kaden Holman,Findlay,G-MAC,P,So.,21.0,97.0,4.43,133.0,7.45,18.0,10.5,1.49
Jacob Howard,Findlay,G-MAC,P,Sr.,16.0,82.0,4.72,125.0,7.38,18.4,11.0,1.77
Carson Mellott,Findlay,G-MAC,P,Sr.,54.2,262.0,4.41,133.0,5.94,16.2,10.3,1.37
Ethan Mohr,Findlay,G-MAC,P,Sr.,47.4,225.0,4.76,124.0,7.75,19.4,11.7,2.17
Dylan Rouse,Findlay,G-MAC,P,Jr.,36.2,180.0,4.33,136.0,5.33,16.5,11.1,1.01
Sebastian Stevens,Findlay,G-MAC,P,So.,28.0,130.0,4.51,130.0,9.74,19.9,10.2,2.25
Camdon Tuttle,Findlay,G-MAC,P,So.,35.2,147.0,4.14,142.0,11.29,20.6,9.3,2.14
Roman Edwards,Francis Marion,Conference Carolinas,P,Sr.,25.1,118.0,4.59,128.0,8.46,17.7,9.3,1.93
Mason Huffstickler,Francis Marion,Conference Carolinas,P,Jr.,22.5,117.0,4.78,123.0,5.6,18.1,12.5,1.44
Robbie Jordan,Francis Marion,Conference Carolinas,P,Sr.,73.0,329.0,4.05,145.0,10.09,18.0,7.9,1.62
Jackson Madden,Francis Marion,Conference Carolinas,P,So.,30.1,147.0,5.24,112.0,7.12,18.6,11.4,2.72
Clayton Stewart,Francis Marion,Conference Carolinas,P,Sr.,12.1,60.0,4.47,132.0,9.72,20.3,10.6,2.01
Jake Beaver,Georgia College,Peach Belt,P,Sr.,17.0,94.0,5.72,103.0,4.73,16.5,11.8,2.69
Griffin Davis,Georgia College,Peach Belt,P,Jr.,17.0,81.0,5.11,115.0,8.09,18.4,10.3,2.74
Christian Donaldson,Georgia College,Peach Belt,P,Sr.,28.7,138.0,4.27,138.0,7.81,18.7,10.9,0.95
Tams Mullins,Georgia College,Peach Belt,P,Jr.,10.0,53.0,5.04,117.0,6.72,17.4,10.7,2.13
Caden Tillman,Georgia College,Peach Belt,P,Sr.,13.1,67.0,4.98,118.0,5.18,16.6,11.4,1.91
Tristan Legg,Ga. Southwestern,Peach Belt,P,Sr.,12.2,58.0,5.09,116.0,7.93,19.3,11.4,2.67
Jackson Raper,Ga. Southwestern,Peach Belt,P,Sr.,58.2,273.0,4.68,126.0,5.35,14.7,9.3,1.73
Cooper Sain,Ga. Southwestern,Peach Belt,P,Sr.,40.0,171.0,3.83,154.0,9.04,19.7,10.7,1.08
Cameron Byers,Glenville St.,MEC,P,Jr.,18.3,96.0,5.75,102.0,4.29,18.5,14.2,2.45
William Chu,Glenville St.,MEC,P,Sr.,10.1,51.0,5.09,116.0,5.59,17.4,11.8,2.13
Ashton Crace,Glenville St.,MEC,P,So.,11.0,59.0,5.24,112.0,6.09,17.5,11.4,2.1
Grant Landis,Glenville St.,MEC,P,Sr.,47.1,212.0,3.97,148.0,9.82,19.7,9.8,1.4
Luka Moore,Glenville St.,MEC,P,Jr.,26.1,114.0,4.71,125.0,6.32,17.5,11.2,2.02
Trent Taylor,Glenville St.,MEC,P,So.,47.0,226.0,5.01,117.0,6.98,16.2,9.2,2.45
Ty Walton,Glenville St.,MEC,P,Jr.,10.6,52.0,4.95,119.0,5.25,18.8,13.5,1.74
Keaton Baird,Harding,GAC,P,Jr.,29.6,136.0,4.96,119.0,8.8,17.7,8.9,2.68
Josiah Binford,Harding,GAC,P,Sr.,16.2,81.0,4.89,120.0,8.98,20.0,11.0,2.33
Andrew Davidson,Harding,GAC,P,Jr.,11.2,63.0,5.0,118.0,7.17,17.0,9.8,2.03
Merritt Jay,Harding,GAC,P,Sr.,55.4,255.0,4.21,140.0,8.89,19.5,10.7,1.56
Kyle Lane,Harding,GAC,P,Sr.,25.4,122.0,4.72,125.0,7.29,21.6,14.3,1.55
Tyler Bates,Henderson St.,GAC,P,Sr.,38.2,175.0,4.15,142.0,11.25,20.7,9.4,1.9
Dawson Goines,Henderson St.,GAC,P,Sr.,26.6,132.0,5.12,115.0,10.1,19.8,9.7,2.87
Gideon Motes,Henderson St.,GAC,P,So.,14.0,81.0,5.89,100.0,7.07,17.6,10.5,3.0
Austin Rainey,Henderson St.,GAC,P,Sr.,11.1,56.0,4.75,124.0,5.07,17.7,12.7,1.42
Ethan Roark,Henderson St.,GAC,P,Sr.,30.6,145.0,5.6,105.0,3.18,16.6,13.4,2.23
Evan Demurias,Lander,Peach Belt,P,Sr.,29.5,153.0,4.76,124.0,2.99,14.5,11.5,1.0
Thomas Goldberg,Lander,Peach Belt,P,Sr.,32.2,160.0,5.76,102.0,7.47,16.8,9.3,3.55
Jake Larson,Lander,Peach Belt,P,Jr.,54.4,230.0,4.03,146.0,12.24,19.5,7.2,2.12
Jake Monroe,Lander,Peach Belt,P,Sr.,49.5,223.0,4.27,138.0,8.8,18.6,9.8,1.7
Joshua Sanchez,Lander,Peach Belt,P,Sr.,27.4,125.0,4.7,125.0,9.44,19.8,10.3,2.4
Nate Winterhalter,Lander,Peach Belt,P,So.,11.0,53.0,5.49,107.0,7.46,17.8,10.3,3.33
Michael Burnley,Lenoir-Rhyne,SAC,P,Jr.,45.2,204.0,4.54,130.0,9.78,20.4,10.7,2.28
Julian Castro,Lenoir-Rhyne,SAC,P,So.,53.0,214.0,4.23,139.0,8.51,16.6,8.0,1.98
Preston Drebes,Lenoir-Rhyne,SAC,P,Sr.,25.8,132.0,4.39,134.0,6.85,17.6,10.7,1.27
Kellen Gradisar,Lenoir-Rhyne,SAC,P,Jr.,73.3,323.0,4.19,140.0,9.19,17.1,7.9,1.88
P. Armour,Lincoln Memorial,SAC,P,Jr.,21.0,109.0,5.1,115.0,9.01,20.1,11.1,2.47
Easton Barnett,Lincoln Memorial,SAC,P,So.,28.0,120.0,4.52,130.0,7.14,17.8,10.6,2.01
Eli Edds,Lincoln Memorial,SAC,P,Sr.,66.9,310.0,4.24,139.0,9.62,20.7,11.0,1.59
Merrick Graham,Lincoln Memorial,SAC,P,So.,13.1,68.0,4.86,121.0,7.31,18.0,10.7,2.03
Bradric Helton,Lincoln Memorial,SAC,P,So.,10.1,64.0,5.25,112.0,7.22,18.2,11.0,2.06
Dylan Maire,Lincoln Memorial,SAC,P,Sr.,31.2,149.0,4.33,136.0,8.39,18.3,9.9,1.69
Jack Santi,Lincoln Memorial,SAC,P,So.,33.2,158.0,5.17,114.0,6.4,17.6,11.2,2.64
Gavin Zoeller,Lincoln Memorial,SAC,P,Jr.,20.3,96.0,4.78,123.0,7.35,17.9,10.5,2.18
Owen Bynum,Mars Hill,SAC,P,Sr.,15.1,80.0,5.35,110.0,2.4,15.5,13.1,1.59
Seth Coxie,Mars Hill,SAC,P,So.,18.2,92.0,5.48,107.0,6.73,17.4,10.6,2.89
Dustin Dunlap,Mars Hill,SAC,P,Sr.,34.2,171.0,4.89,120.0,7.58,19.6,12.0,1.93
Christian Galindo,Mars Hill,SAC,P,So.,17.1,96.0,5.65,104.0,5.75,17.2,11.5,2.39
Brady Stephens,Mars Hill,SAC,P,Jr.,16.7,94.0,5.88,100.0,3.87,14.6,10.8,2.42
Brennan Williams,Mars Hill,SAC,P,Jr.,62.4,279.0,4.42,133.0,7.63,17.6,9.9,2.05
Reid Withers,Mars Hill,SAC,P,Sr.,31.1,159.0,5.11,115.0,8.45,18.5,10.1,2.79
David Ziolkowski,Mars Hill,SAC,P,Jr.,18.1,100.0,5.11,115.0,7.12,17.8,10.7,2.13
Gene Blackmon,Montevallo,Gulf South,P,Sr.,15.0,75.0,4.79,123.0,6.84,17.8,11.0,1.78
Matthew Bullard,Montevallo,Gulf South,P,Sr.,59.1,281.0,4.96,119.0,7.17,17.1,9.9,2.42
Mason Creacy,Montevallo,Gulf South,P,Sr.,37.1,159.0,4.19,140.0,7.42,16.6,9.2,1.57
Liam Martin,Montevallo,Gulf South,P,So.,12.8,65.0,4.81,122.0,3.37,15.3,12.0,1.31
Logan Medsker,Montevallo,Gulf South,P,Jr.,21.1,97.0,4.26,138.0,10.11,21.1,11.0,1.75
Sam Patrick,Montevallo,Gulf South,P,So.,14.2,70.0,4.99,118.0,7.63,18.0,10.3,2.38
Mitchell Rhodes,Montevallo,Gulf South,P,Sr.,18.1,83.0,4.51,130.0,7.33,18.0,10.7,1.76
Zach Wyatt,Montevallo,Gulf South,P,Jr.,34.8,163.0,5.24,112.0,9.35,18.0,8.7,3.45
Carson Gipson,Mount Olive,Conference Carolinas,P,Sr.,47.3,216.0,5.03,117.0,6.11,15.6,9.5,2.3
Lucas Glover,Mount Olive,Conference Carolinas,P,Jr.,63.0,272.0,4.54,130.0,9.75,19.7,9.9,2.45
Pete Honse,Mount Olive,Conference Carolinas,P,So.,37.2,181.0,5.06,116.0,7.29,18.2,10.9,2.21
Kole Hopkins,Mount Olive,Conference Carolinas,P,So.,16.0,74.0,4.69,125.0,7.37,17.8,10.4,1.98
John Nelson McLamb,Mount Olive,Conference Carolinas,P,So.,29.0,134.0,4.44,132.0,6.66,16.8,10.1,1.63
Lane Roberson,Mount Olive,Conference Carolinas,P,Sr.,19.2,96.0,4.58,128.0,8.2,17.7,9.5,1.64
Raleigh Walker,Mount Olive,Conference Carolinas,P,Sr.,18.2,100.0,4.64,127.0,7.44,17.5,10.1,1.61
Josh Bandy,Newberry,SAC,P,So.,14.0,67.0,4.78,123.0,6.83,17.2,10.4,2.04
Jacob Clark,Newberry,SAC,P,So.,57.0,266.0,5.03,117.0,4.93,15.2,10.3,2.24
Blake Morrison,Newberry,SAC,P,Jr.,14.9,83.0,5.18,114.0,6.0,18.0,12.0,1.95
Nik Bantle,Northern St.,NSIC,P,Sr.,12.0,71.0,6.64,89.0,5.99,17.0,11.0,3.64
Lance Behrens,Northern St.,NSIC,P,Sr.,37.2,197.0,5.35,110.0,7.82,18.1,10.3,2.77
Palmer Boyd,Northern St.,NSIC,P,So.,18.2,109.0,5.31,111.0,7.4,18.6,11.2,2.08
Hunter Brown,Northern St.,NSIC,P,Sr.,38.1,186.0,4.93,119.0,6.73,16.7,10.0,2.17
Owen Douglas,Northern St.,NSIC,P,Jr.,13.2,79.0,6.39,92.0,5.36,15.9,10.6,3.2
Jake Helleloid,Northern St.,NSIC,P,Sr.,23.8,134.0,6.3,93.0,2.67,16.8,14.1,2.93
Kaleb Hubble,Northern St.,NSIC,P,Sr.,10.2,65.0,5.51,107.0,6.97,18.4,11.4,1.95
Carson Zimmel,Northern St.,NSIC,P,Sr.,63.1,291.0,5.12,115.0,4.58,17.3,12.7,2.1
Adam Brooks,Northwest Nazarene,Great Northwest,P,Jr.,16.2,85.0,5.86,100.0,7.73,17.5,9.8,3.54
Wade Duncan,Northwest Nazarene,Great Northwest,P,Jr.,31.6,130.0,3.4,173.0,14.31,21.9,7.6,1.45
Dillon Eden,Northwest Nazarene,Great Northwest,P,Sr.,16.2,82.0,4.92,120.0,9.03,19.6,10.5,2.33
Hawk HILL,Northwest Nazarene,Great Northwest,P,Sr.,28.1,128.0,4.01,147.0,9.15,18.0,8.9,1.41
Landen Parker,Northwest Nazarene,Great Northwest,P,Sr.,57.2,263.0,4.32,136.0,9.83,19.0,9.2,1.71
Jakob Rochelle,Northwest Nazarene,Great Northwest,P,Jr.,17.2,79.0,4.85,121.0,7.2,17.5,10.4,2.33
Tyler Stolfich,Northwest Nazarene,Great Northwest,P,Sr.,25.2,123.0,4.42,133.0,8.79,17.8,9.0,1.89
Austin Bagnall,Ouachita Baptist,GAC,P,Sr.,33.0,167.0,4.82,122.0,4.04,16.3,12.3,1.58
Kyndall Cassidy,Ouachita Baptist,GAC,P,Jr.,13.1,71.0,4.94,119.0,6.57,16.5,9.9,1.96
Cole Davis,Ouachita Baptist,GAC,P,Fr.,29.1,136.0,4.63,127.0,4.89,16.3,11.4,1.68
Andrew Hayden,Ouachita Baptist,GAC,P,Jr.,19.2,102.0,5.05,116.0,6.93,18.2,11.3,2.11
Connor Hill,Ouachita Baptist,GAC,P,So.,24.0,108.0,3.79,155.0,9.52,20.8,11.2,0.97
Chase Oberle,Ouachita Baptist,GAC,P,Sr.,88.6,392.0,3.91,150.0,13.42,21.1,7.7,2.1
Braden Tucker,Ouachita Baptist,GAC,P,Sr.,15.9,76.0,4.71,125.0,10.55,20.8,10.3,2.56
Cooper Crouch,Pittsburg St.,Mid-America Intercollegiate,P,Sr.,27.1,117.0,4.22,139.0,9.44,18.7,9.3,1.94
Preston Giltner,Pittsburg St.,Mid-America Intercollegiate,P,Sr.,22.9,109.0,5.12,115.0,9.14,20.0,10.8,2.71
Elijah Seitz,Pittsburg St.,Mid-America Intercollegiate,P,So.,24.0,111.0,5.08,116.0,9.75,19.1,9.3,3.03
Zion Fraser,Post,CACC,P,Jr.,38.1,187.0,4.06,145.0,8.82,18.1,9.3,1.28
Jack Martineau,Post,CACC,P,Jr.,29.6,128.0,4.26,138.0,7.55,17.4,9.9,1.63
CJ Pierce,Post,CACC,P,So.,18.2,90.0,4.8,123.0,8.44,19.3,10.8,2.22
Justin Portes,Post,CACC,P,Sr.,30.7,157.0,4.66,126.0,4.48,19.0,14.6,0.96
Logan Pulitano,Post,CACC,P,So.,37.0,171.0,4.35,135.0,6.67,17.2,10.6,1.46
Harby Valera,Post,CACC,P,Sr.,22.0,98.0,4.47,132.0,8.15,17.6,9.5,2.13
Sebastian Velasquez,Post,CACC,P,Jr.,34.1,172.0,4.99,118.0,7.17,18.6,11.5,2.28
Dalton Wright,Post,CACC,P,Jr.,17.2,88.0,4.66,126.0,7.05,17.4,10.4,1.82
Trent Clemons,Rockhurst,GLVC,P,So.,19.0,89.0,4.44,132.0,8.35,18.7,10.4,1.88
Ryan Hamann,Rockhurst,GLVC,P,So.,14.1,82.0,6.03,98.0,6.5,18.4,11.9,2.99
Michael Laudando,Rockhurst,GLVC,P,Sr.,76.8,348.0,4.12,143.0,12.11,20.8,8.7,2.22
Garrison Mertz,Rockhurst,GLVC,P,Jr.,14.6,79.0,5.5,107.0,4.86,18.0,13.1,2.43
Brendan Rodis,Rockhurst,GLVC,P,Jr.,39.5,185.0,5.02,117.0,5.64,16.2,10.5,2.35
Marley Bernal,St. Edward's,Lone Star,P,Sr.,17.1,76.0,4.75,124.0,8.32,19.4,11.1,2.4
Carson Blakeley,St. Edward's,Lone Star,P,Sr.,56.0,286.0,5.74,102.0,3.97,15.0,11.1,2.65
Nic Luna,St. Edward's,Lone Star,P,Sr.,17.0,77.0,5.28,111.0,6.34,16.7,10.4,2.95
Finn Mignerey,St. Edward's,Lone Star,P,So.,12.0,55.0,4.53,130.0,7.02,17.5,10.4,1.74
Luke Fulkerson,Saint Martin's,Great Northwest,P,So.,36.2,201.0,5.22,113.0,3.88,15.7,11.8,1.85
Bryson Nakamoto,Saint Martin's,Great Northwest,P,Jr.,28.1,153.0,5.58,105.0,1.96,13.9,12.0,1.76
Luke Petrie,Saint Martin's,Great Northwest,P,Jr.,13.2,90.0,5.35,110.0,5.47,16.2,10.7,1.39
Nikki Scott,Saint Martin's,Great Northwest,P,Sr.,34.4,176.0,5.14,114.0,4.4,14.4,10.0,2.03
Raige Velez,Saint Martin's,Great Northwest,P,Jr.,15.0,82.0,5.68,104.0,4.62,15.0,10.4,2.32
Blaze Wong,Saint Martin's,Great Northwest,P,Sr.,50.0,239.0,4.9,120.0,7.56,15.0,7.4,2.74
Tyler Young,Saint Martin's,Great Northwest,P,Jr.,11.1,75.0,6.11,96.0,2.94,16.5,13.6,1.92
Braeden Brown,St. Mary's (TX),Lone Star,P,Jr.,24.8,130.0,5.23,112.0,4.28,16.0,11.7,1.83
Gabe Cook,St. Mary's (TX),Lone Star,P,Jr.,36.7,179.0,4.04,146.0,7.42,17.0,9.6,1.16
Kaleb Gauna,St. Mary's (TX),Lone Star,P,Sr.,50.0,244.0,5.2,113.0,6.32,17.8,11.5,2.37
Matthew Janecek,St. Mary's (TX),Lone Star,P,Jr.,40.0,175.0,4.67,126.0,10.18,19.7,9.5,2.56
Derek Maples,St. Mary's (TX),Lone Star,P,So.,11.1,67.0,5.99,98.0,7.76,18.5,10.8,3.16
Brant Stringer,St. Mary's (TX),Lone Star,P,Jr.,10.2,56.0,5.05,116.0,5.51,16.8,11.3,1.61
Brody Ticer,St. Mary's (TX),Lone Star,P,Sr.,13.0,72.0,4.96,119.0,4.51,15.5,11.0,1.5
Brandon Vasquez,St. Mary's (TX),Lone Star,P,Sr.,14.1,71.0,5.45,108.0,5.69,17.2,11.5,2.57
Andrew Schoelles,St. Thomas Aquinas,ECC,P,Jr.,52.1,244.0,4.43,133.0,4.53,14.3,9.8,1.36
Jeremiah Vega,St. Thomas Aquinas,ECC,P,Sr.,21.9,103.0,5.54,106.0,3.98,15.3,11.3,2.67
Carson Abbott,Southeastern Okla.,GAC,P,Jr.,31.0,157.0,5.19,113.0,6.61,18.2,11.6,2.39
David Brown,Southeastern Okla.,GAC,P,Sr.,27.1,129.0,4.57,129.0,7.43,17.7,10.3,1.84
Tanner Carter,Southeastern Okla.,GAC,P,Sr.,11.1,67.0,6.15,96.0,4.39,17.2,12.8,2.53
Colton Clawson,Southeastern Okla.,GAC,P,Sr.,52.1,254.0,6.76,87.0,2.78,14.1,11.3,4.3
Daniel Collins,Southeastern Okla.,GAC,P,Jr.,59.1,299.0,5.71,103.0,5.8,17.9,12.1,3.06
Jacob Fuller,Southeastern Okla.,GAC,P,Sr.,36.7,179.0,5.28,111.0,8.76,19.0,10.2,3.03
Austin Hillebrandt,Southeastern Okla.,GAC,P,Sr.,26.0,133.0,5.67,104.0,5.81,16.7,10.8,3.1
Luke Johnson,Southeastern Okla.,GAC,P,So.,36.4,172.0,5.04,117.0,5.14,16.2,11.1,2.13
Cody Pfeffer,Southeastern Okla.,GAC,P,Sr.,37.2,162.0,4.04,146.0,11.61,21.5,9.8,1.99
Brayden Phelps,Southeastern Okla.,GAC,P,Jr.,14.0,77.0,5.81,101.0,7.29,18.1,10.8,3.23
Ryan Rauss,Southeastern Okla.,GAC,P,Sr.,21.2,120.0,6.28,94.0,7.98,19.5,11.6,3.74
Brock Zimmer,Southeastern Okla.,GAC,P,Sr.,32.0,169.0,7.11,83.0,7.38,19.2,11.8,5.29
Stetson Bishop,Southern Ark.,GAC,P,Jr.,29.5,133.0,4.5,131.0,8.74,18.3,9.6,2.26
Carter Gaston,Southern Ark.,GAC,P,Sr.,50.1,246.0,4.87,121.0,7.55,18.5,11.0,2.09
Asher Hastings,Southern Ark.,GAC,P,Sr.,16.0,74.0,4.58,128.0,8.13,19.5,11.4,1.85
Eli Hutcherson,Southern Ark.,GAC,P,Sr.,23.0,95.0,5.36,110.0,7.83,18.3,10.4,3.7
Hayden Oglesby,Southern Ark.,GAC,P,Sr.,21.3,104.0,4.86,121.0,6.21,16.9,10.7,2.03
Caleb Sollars,Southern Ark.,GAC,P,Sr.,18.0,100.0,6.58,89.0,8.25,20.5,12.3,4.38
Andrew Baileys,Tiffin,G-MAC,P,Sr.,10.1,58.0,5.35,110.0,5.31,17.9,12.6,2.04
Mason Brunecz,Tiffin,G-MAC,P,Jr.,34.5,159.0,4.34,135.0,6.68,17.8,11.1,1.36
Trent Hedges,Tiffin,G-MAC,P,Sr.,15.4,74.0,4.33,136.0,10.61,21.7,11.1,2.04
Julian Hernandez,Tiffin,G-MAC,P,So.,16.2,69.0,4.28,137.0,9.28,20.4,11.1,1.9
Brett Madison,Tiffin,G-MAC,P,So.,23.0,113.0,5.17,114.0,7.65,18.4,10.8,2.69
Keegan Phillips,Tiffin,G-MAC,P,So.,23.0,107.0,4.61,128.0,5.96,16.7,10.7,1.77
Jonathan Ray,Tiffin,G-MAC,P,Sr.,57.9,263.0,4.65,126.0,9.61,20.4,10.8,2.36
Brandon Swope,Tiffin,G-MAC,P,Jr.,31.1,142.0,4.64,127.0,6.69,19.2,12.5,1.82
Braden Cannon,Wayne St. (NE),NSIC,P,Sr.,26.5,120.0,3.69,159.0,10.9,20.4,9.5,1.02
Jace Coleman,Wayne St. (NE),NSIC,P,So.,23.0,107.0,4.99,118.0,8.91,20.6,11.7,2.75
Adam Eggert,Wayne St. (NE),NSIC,P,Jr.,10.7,64.0,4.81,122.0,6.93,17.5,10.6,1.6
Conlin Grady,Wayne St. (NE),NSIC,P,Jr.,26.2,132.0,4.81,122.0,7.53,18.7,11.2,1.89
Kyler Hanson,Wayne St. (NE),NSIC,P,Jr.,30.0,151.0,5.05,116.0,6.21,17.0,10.8,2.1
Brooks Kneifl,Wayne St. (NE),NSIC,P,So.,22.2,116.0,5.31,111.0,6.11,17.7,11.5,2.38
Kienan Lentell,Wayne St. (NE),NSIC,P,Sr.,26.0,121.0,4.95,119.0,6.35,16.4,10.1,2.36
Carson Obrecht,Wayne St. (NE),NSIC,P,So.,24.1,114.0,4.88,120.0,6.62,18.2,11.6,2.05
Kadyn Van Hill,Wayne St. (NE),NSIC,P,Sr.,23.3,119.0,4.92,120.0,7.61,17.3,9.7,2.19
Mason Bille,West Liberty,MEC,P,Jr.,21.2,106.0,4.95,119.0,6.84,16.5,9.7,2.14
Mason Chaney,West Liberty,MEC,P,So.,11.1,59.0,5.22,113.0,6.98,17.5,10.6,2.48
Brady Harmon,West Liberty,MEC,P,Sr.,23.7,119.0,4.85,121.0,9.02,17.6,8.6,2.52
Karson Frye,West Virginia St.,MEC,P,So.,16.0,88.0,5.51,107.0,4.63,17.7,13.1,2.23
Brian Lingenfelter,West Virginia St.,MEC,P,Sr.,55.1,272.0,4.87,121.0,6.86,17.8,11.0,2.21
Zane Loveday,West Virginia St.,MEC,P,Sr.,26.1,140.0,6.17,95.0,1.26,16.2,15.0,2.37
Hunter McSweeney,West Virginia St.,MEC,P,Jr.,18.2,88.0,4.64,127.0,6.94,18.3,11.4,1.82
Jared Nethercut,West Virginia St.,MEC,P,So.,26.1,113.0,4.85,121.0,7.59,17.1,9.5,2.69
Caleb Nutter,West Virginia St.,MEC,P,So.,10.1,47.0,4.97,118.0,8.03,18.4,10.4,2.6
Cam Reed,West Virginia St.,MEC,P,Jr.,29.2,140.0,5.26,112.0,6.76,17.6,10.8,2.87
