Name,Team,Conference,Position,Class,IP,BF,ERA,FIP+,K%-BB%,K%,BB%,HR%
Jacob Claborn,Lincoln (MO),GLVC,P,Sr.,27.2,164.0,6.67,88.0,2.61,13.4,10.8,3.11
Canon Feist,Lincoln (MO),GLVC,P,So.,57.0,304.0,6.68,88.0,3.72,14.4,10.7,3.86
Ryan Lepper,Lincoln (MO),GLVC,P,So.,36.0,170.0,4.27,138.0,7.78,17.6,9.8,1.47
Ed Noy,Lincoln (MO),GLVC,P,So.,48.2,252.0,5.52,107.0,4.73,15.1,10.4,2.53
Ty Ollison,Lincoln (MO),GLVC,P,So.,11.2,72.0,5.57,106.0,5.13,16.8,11.7,2.0
Carter Otto,Lincoln (MO),GLVC,P,So.,39.2,217.0,5.65,104.0,6.52,16.3,9.8,2.98
Dave Watkins III,Lincoln (MO),GLVC,P,So.,13.1,93.0,6.79,87.0,4.15,16.1,12.0,2.88
Ryan Basham,Georgian Court,CACC,P,Sr.,14.0,81.0,5.49,107.0,6.5,16.6,10.1,2.33
Ryan Bilello,Georgian Court,CACC,P,Sr.,40.2,206.0,6.18,95.0,3.78,14.6,10.9,3.67
Jaydon Cabezuedo,Georgian Court,CACC,P,Sr.,19.5,115.0,6.54,90.0,-0.2,15.7,15.9,2.35
Ely Houston,Georgian Court,CACC,P,So.,17.0,92.0,5.06,116.0,6.3,17.8,11.5,1.86
Austin Keefer,Georgian Court,CACC,P,Jr.,21.2,117.0,5.99,98.0,3.7,14.8,11.1,2.74
Samir Lopez,Georgian Court,CACC,P,Sr.,30.9,157.0,5.54,106.0,3.08,16.6,13.6,2.39
Benjie Pabon,Georgian Court,CACC,P,So.,25.0,149.0,6.1,96.0,4.46,16.5,12.0,2.7
Brady Parks,Georgian Court,CACC,P,Sr.,35.2,189.0,5.65,104.0,4.97,14.1,9.2,2.84
Andrew Sloan,Georgian Court,CACC,P,Sr.,20.2,107.0,5.93,99.0,6.09,16.2,10.1,3.0
Ian Barnes,USC Beaufort,Peach Belt,P,So.,29.9,151.0,4.74,124.0,7.69,18.0,10.3,1.92
Zack McQuiston,USC Beaufort,Peach Belt,P,So.,18.0,105.0,5.53,106.0,5.98,17.7,11.7,2.44
Matt Navarro,USC Beaufort,Peach Belt,P,Jr.,24.2,121.0,4.44,132.0,7.14,18.3,11.2,1.49
Alex Simmons,USC Beaufort,Peach Belt,P,Sr.,57.2,279.0,4.91,120.0,5.39,16.4,11.0,1.9
Cole Thomas,USC Beaufort,Peach Belt,P,Sr.,24.2,137.0,6.27,94.0,4.87,16.0,11.2,3.05
Joe Turner,USC Beaufort,Peach Belt,P,Sr.,56.2,294.0,5.51,107.0,4.58,17.5,12.9,2.09
Caden Beloian,Westmont,PacWest,P,Jr.,34.2,155.0,4.27,138.0,9.3,19.0,9.7,1.79
Kade Fujioka,Westmont,PacWest,P,So.,15.2,69.0,4.71,125.0,4.78,16.7,11.9,1.65
Hunter Hammond,Westmont,PacWest,P,So.,30.1,133.0,4.51,130.0,6.96,17.5,10.6,1.93
Josh Hickey,Westmont,PacWest,P,Jr.,41.1,191.0,4.83,122.0,8.04,17.6,9.6,2.44
Willis Lacy,Westmont,PacWest,P,Jr.,17.2,95.0,4.86,121.0,7.82,18.0,10.2,1.77
Joey Rico,Westmont,PacWest,P,Jr.,53.3,239.0,4.47,132.0,9.74,18.9,9.2,2.24
Brandon Tatch,Westmont,PacWest,P,So.,10.1,51.0,5.4,109.0,8.17,18.5,10.3,2.96
Micah Canterbury,Fairmont St.,MEC,P,Jr.,58.0,288.0,5.0,118.0,4.66,16.7,12.0,1.67
Luke Emory,Fairmont St.,MEC,P,Sr.,15.2,81.0,5.14,114.0,4.73,16.6,11.9,1.71
Nick George,Fairmont St.,MEC,P,Jr.,11.1,58.0,5.4,109.0,9.04,20.4,11.4,2.9
Mac Schnur,Fairmont St.,MEC,P,Jr.,24.4,112.0,4.91,120.0,8.44,18.9,10.5,2.55
Connor Tingler,Fairmont St.,MEC,P,Jr.,51.5,260.0,5.09,116.0,3.59,16.2,12.6,1.7
Dylan Travinski,Fairmont St.,MEC,P,So.,31.0,145.0,4.69,125.0,8.36,18.4,10.1,2.15
Isaac Van Meter,Fairmont St.,MEC,P,Sr.,26.2,128.0,5.04,117.0,3.27,14.5,11.3,1.8
