Name,Team,Conference,Position,Class,PA,AVG,OBP,SLG,WOBA,1B,2B,3B,HR,HBP,K%,BB%
Jaxon Beiswenger,Bucknell,Patriot,INF,So.,10.0,0.222,0.3,0.222,0.364,2.0,0.0,0.0,0.0,0.0,21.2,11.4
Garrison Bullock,Bucknell,Patriot,C,Jr.,61.0,0.235,0.361,0.333,0.367,9.0,2.0,0.0,1.0,2.0,22.2,12.7
John Calabrese,Bucknell,Patriot,OF,So.,114.0,0.281,0.395,0.406,0.386,19.0,6.0,0.0,2.0,4.0,17.6,12.1
Michael Chiaravallo,Bucknell,Patriot,OF,Jr.,58.0,0.22,0.328,0.32,0.331,8.0,2.0,0.0,1.0,1.0,28.6,11.8
Ryan Facinelli,Bucknell,Patriot,INF,Sr.,118.0,0.252,0.346,0.406,0.34,15.0,8.0,1.0,2.0,3.0,30.5,10.5
Billy Fluharty,Bucknell,Patriot,OF,Jr.,121.0,0.274,0.388,0.401,0.36,20.0,5.0,1.0,2.0,4.0,21.5,12.7
Chris Morabito,Bucknell,Patriot,OF,Jr.,143.0,0.249,0.364,0.398,0.354,20.0,5.0,2.0,3.0,5.0,21.1,11.6
Luke Nascimento,Bucknell,Patriot,C,Jr.,105.0,0.239,0.363,0.353,0.345,15.0,4.0,0.0,2.0,4.0,23.2,12.9
Andrew Swenson,Bucknell,Patriot,UT,Jr.,50.0,0.226,0.318,0.361,0.338,6.0,3.0,0.0,1.0,1.0,25.2,9.9
Michael Trommer,Bucknell,Patriot,INF,Sr.,173.0,0.28,0.393,0.431,0.383,28.0,8.0,1.0,4.0,5.0,21.5,12.6
David Ayers,Butler,Big East,UT,Jr.,110.0,0.241,0.344,0.399,0.324,15.0,4.0,1.0,3.0,5.0,29.4,8.7
Logan Baker,Butler,Big East,INF,Sr.,211.0,0.269,0.356,0.382,0.341,36.0,10.0,1.0,3.0,7.0,18.6,8.7
Will Burgess,Butler,Big East,UT,Sr.,91.0,0.26,0.374,0.39,0.371,14.0,4.0,0.0,2.0,2.0,22.4,12.7
Ian Choi,Butler,Big East,INF,Sr.,88.0,0.206,0.297,0.323,0.293,11.0,3.0,0.0,2.0,2.0,32.1,8.9
Keegan Connors,Butler,Big East,C,Sr.,39.0,0.266,0.361,0.414,0.352,6.0,2.0,0.0,1.0,1.0,24.9,10.8
Logan Crock,Butler,Big East,INF,So.,91.0,0.269,0.374,0.397,0.355,15.0,4.0,0.0,2.0,3.0,21.5,11.3
Gunnar Duncan,Butler,Big East,C,So.,47.0,0.25,0.362,0.375,0.362,7.0,2.0,0.0,1.0,1.0,20.7,12.2
Connor Sackett,Butler,Big East,C,Sr.,109.0,0.297,0.413,0.418,0.395,20.0,5.0,0.0,2.0,4.0,21.2,12.6
