Name,Team,Conference,Position,Class,PA,AVG,OBP,SLG,WOBA,1B,2B,3B,HR,HBP,K%,BB%
Shaun Gavin,UW-River Falls,WIAC,UT,So.,19.0,0.25,0.368,0.312,0.366,3.0,1.0,0.0,0.0,1.0,16.9,10.5
Tanner Hraby,UW-River Falls,WIAC,INF,So.,160.0,0.312,0.406,0.399,0.377,34.0,7.0,1.0,1.0,6.0,14.3,9.9
Carter Klein,UW-River Falls,WIAC,INF,So.,48.0,0.268,0.375,0.39,0.386,8.0,2.0,0.0,1.0,2.0,16.6,10.2
Max Krebs,UW-River Falls,WIAC,INF,Jr.,152.0,0.316,0.388,0.529,0.406,27.0,9.0,1.0,6.0,5.0,16.1,7.0
Patrick Lundgren,UW-River Falls,WIAC,C,So.,30.0,0.231,0.333,0.269,0.376,5.0,1.0,0.0,0.0,1.0,17.5,10.7
John Santelman,UW-River Falls,WIAC,INF,So.,48.0,0.293,0.396,0.415,0.375,9.0,2.0,0.0,1.0,2.0,17.7,9.9
Colton Skoglund,UW-River Falls,WIAC,OF,So.,43.0,0.263,0.349,0.395,0.384,7.0,2.0,0.0,1.0,1.0,18.3,10.3
Hudson Wagner,UW-River Falls,WIAC,UT,So.,19.0,0.25,0.368,0.312,0.376,3.0,1.0,0.0,0.0,1.0,16.5,11.1
Connor Weltzien,UW-River Falls,WIAC,UT,So.,60.0,0.269,0.367,0.385,0.362,10.0,3.0,0.0,1.0,2.0,19.6,10.4
Kaleb Zabielski,UW-River Falls,WIAC,OF,So.,96.0,0.28,0.385,0.427,0.374,16.0,4.0,1.0,2.0,4.0,17.4,10.5
Kirk Bearjar,Geneva,PAC,INF,Sr.,130.0,0.33,0.423,0.5,0.415,25.0,8.0,1.0,3.0,2.0,18.6,12.3
Ethan Blair,Geneva,PAC,UT,Sr.,20.0,0.231,0.344,0.288,0.372,3.0,1.0,0.0,0.0,1.0,16.6,11.0
Marco Chenet,Geneva,PAC,OF,So.,95.0,0.309,0.411,0.432,0.378,18.0,5.0,1.0,1.0,4.0,19.2,10.2
Mikey Crandall,Geneva,PAC,OF,So.,15.0,0.333,0.467,0.417,0.377,3.0,1.0,0.0,0.0,1.0,17.7,11.6
Aidan Lynch,Geneva,PAC,C,Jr.,78.0,0.248,0.344,0.365,0.319,12.0,3.0,1.0,1.0,3.0,23.6,9.0
Bradley McGuire,Geneva,PAC,INF,Jr.,132.0,0.287,0.401,0.386,0.383,24.0,6.0,1.0,1.0,4.0,16.7,13.0
Noah Michal,Geneva,PAC,INF,Jr.,11.0,0.2,0.273,0.2,0.369,2.0,0.0,0.0,0.0,0.0,17.0,10.7
Mason Smith,Geneva,PAC,INF,So.,22.0,0.263,0.364,0.316,0.367,4.0,1.0,0.0,0.0,1.0,19.2,10.4
Anthony Snyder,Geneva,PAC,INF,Sr.,86.0,0.277,0.395,0.388,0.376,14.0,5.0,0.0,1.0,4.0,19.8,11.4
Michael Twigg,Geneva,PAC,OF,Jr.,142.0,0.298,0.417,0.425,0.4,25.0,7.0,1.0,2.0,4.0,15.0,14.1
Simon Wehr,Geneva,PAC,OF,So.,50.0,0.256,0.36,0.372,0.367,8.0,2.0,0.0,1.0,2.0,18.8,11.0
Everett Bell,Lancaster Bible,United East,OF,So.,100.0,0.291,0.39,0.395,0.386,19.0,4.0,1.0,1.0,3.0,15.4,11.4
Donovan Boles,Lancaster Bible,United East,INF,Jr.,77.0,0.254,0.39,0.397,0.362,11.0,3.0,0.0,2.0,3.0,19.1,13.9
CJ Peterson,Lancaster Bible,United East,INF,So.,25.0,0.238,0.36,0.286,0.376,4.0,1.0,0.0,0.0,1.0,16.8,10.6
Nate Rosenzweig,Lancaster Bible,United East,INF,Jr.,81.0,0.271,0.37,0.4,0.378,14.0,3.0,0.0,2.0,3.0,20.6,10.2
Evan Sareyka,Lancaster Bible,United East,OF,Sr.,161.0,0.326,0.397,0.541,0.416,31.0,8.0,1.0,7.0,5.0,15.5,7.5
Malachi Sloane,Lancaster Bible,United East,C,Jr.,121.0,0.275,0.412,0.468,0.408,17.0,5.0,1.0,4.0,8.0,18.1,12.7
Joey Stein,Lancaster Bible,United East,INF,So.,44.0,0.297,0.409,0.432,0.365,8.0,2.0,0.0,1.0,2.0,18.8,11.2
Shane Stephan,Lancaster Bible,United East,INF,Jr.,136.0,0.302,0.404,0.414,0.389,27.0,5.0,1.0,2.0,5.0,18.1,11.4
Dylan Witkowski,Lancaster Bible,United East,UT,Sr.,175.0,0.364,0.481,0.595,0.479,33.0,11.0,2.0,6.0,6.0,9.6,14.8
Cole Akins,Covenant,CCS,INF,Jr.,35.0,0.258,0.343,0.323,0.359,6.0,2.0,0.0,0.0,1.0,16.1,9.6
Daniel Bell,Covenant,CCS,OF,Jr.,138.0,0.294,0.391,0.403,0.38,25.0,8.0,1.0,1.0,6.0,14.9,9.7
Cody Brewer,Covenant,CCS,OF,Jr.,18.0,0.263,0.384,0.328,0.367,3.0,1.0,0.0,0.0,1.0,19.5,10.2
Luke Carter,Covenant,CCS,INF,So.,61.0,0.264,0.361,0.377,0.383,10.0,3.0,0.0,1.0,2.0,17.4,10.4
Sam Cecil,Covenant,CCS,INF,Jr.,161.0,0.303,0.385,0.437,0.385,31.0,8.0,1.0,3.0,3.0,16.4,10.2
Hudson Couch,Covenant,CCS,C,Jr.,128.0,0.271,0.391,0.364,0.361,22.0,5.0,1.0,1.0,4.0,21.0,13.0
Elliott Eastin,Covenant,CCS,OF,Jr.,77.0,0.293,0.376,0.381,0.347,16.0,3.0,0.0,1.0,2.0,17.6,8.6
Nate Jones,Covenant,CCS,OF,So.,98.0,0.294,0.388,0.412,0.385,18.0,5.0,1.0,1.0,3.0,16.0,10.7
Ryan MacLellan,Covenant,CCS,INF,So.,26.0,0.273,0.385,0.318,0.373,5.0,1.0,0.0,0.0,1.0,17.4,10.9
Roby McClarnon,Covenant,CCS,INF,So.,192.0,0.289,0.385,0.422,0.379,34.0,9.0,2.0,3.0,6.0,16.0,10.3
Zach Bauers,Penn St.-Abington,United East,C,Sr.,194.0,0.311,0.442,0.432,0.423,35.0,11.0,1.0,2.0,6.0,10.5,16.2
Mike Brocco,Penn St.-Abington,United East,INF,So.,23.0,0.25,0.348,0.3,0.366,4.0,1.0,0.0,0.0,1.0,18.2,10.7
Zach DiMario,Penn St.-Abington,United East,C,Jr.,34.0,0.276,0.382,0.345,0.375,6.0,2.0,0.0,0.0,1.0,17.5,12.6
Garrett Garofalo,Penn St.-Abington,United East,INF,Sr.,151.0,0.264,0.391,0.376,0.366,22.0,9.0,1.0,1.0,8.0,18.3,12.2
Julian Grandelli,Penn St.-Abington,United East,OF,Jr.,32.0,0.259,0.375,0.333,0.368,5.0,2.0,0.0,0.0,1.0,16.3,12.8
Andrew Holt,Penn St.-Abington,United East,INF,Jr.,168.0,0.343,0.44,0.476,0.432,36.0,9.0,2.0,2.0,4.0,15.7,12.7
Donato Incollingo,Penn St.-Abington,United East,OF,Jr.,166.0,0.301,0.398,0.483,0.391,30.0,6.0,1.0,6.0,8.0,25.2,9.1
Nathan Schurga,Penn St.-Abington,United East,INF,So.,171.0,0.248,0.379,0.325,0.351,27.0,6.0,1.0,1.0,5.0,13.9,14.7
Devin Dudley,Houghton,Empire 8,OF,So.,11.0,0.3,0.364,0.4,0.382,2.0,1.0,0.0,0.0,0.0,16.6,11.7
Qingyang Feng,Houghton,Empire 8,INF,Sr.,207.0,0.312,0.415,0.472,0.415,36.0,13.0,3.0,3.0,7.0,18.3,11.6
Liam Flynn,Houghton,Empire 8,UT,So.,129.0,0.297,0.411,0.519,0.405,19.0,7.0,1.0,5.0,4.0,19.4,12.9
Nate Hall,Houghton,Empire 8,OF,Jr.,154.0,0.304,0.421,0.413,0.4,29.0,7.0,2.0,1.0,6.0,19.9,12.9
Ty Kenney,Houghton,Empire 8,INF,Sr.,112.0,0.24,0.377,0.328,0.33,17.0,3.0,1.0,1.0,4.0,20.2,14.1
Vincent Lucyszyn,Houghton,Empire 8,INF,Sr.,150.0,0.237,0.359,0.325,0.352,22.0,6.0,1.0,1.0,7.0,18.7,11.5
James Nelson,Houghton,Empire 8,OF,Jr.,66.0,0.264,0.409,0.415,0.362,9.0,3.0,1.0,1.0,3.0,20.7,15.0
Ethan Parks,Houghton,Empire 8,OF,Sr.,11.0,0.191,0.262,0.191,0.375,2.0,0.0,0.0,0.0,0.0,17.0,10.5
Matt Riddell,Houghton,Empire 8,INF,So.,19.0,0.25,0.368,0.312,0.374,3.0,1.0,0.0,0.0,1.0,17.5,10.5
JD Robinson,Houghton,Empire 8,INF,Sr.,110.0,0.294,0.39,0.483,0.384,17.0,7.0,1.0,3.0,9.0,19.0,5.2
Christian Tortorici,Houghton,Empire 8,C,Sr.,112.0,0.308,0.419,0.414,0.384,22.0,5.0,1.0,1.0,4.0,23.4,12.4
Hayden Ulrich,Houghton,Empire 8,INF,Jr.,14.0,0.257,0.366,0.343,0.364,2.0,1.0,0.0,0.0,0.0,17.7,11.1
Benjamin Agnew,Southern Va.,USA South,INF,Sr.,24.0,0.196,0.328,0.245,0.335,3.0,1.0,0.0,0.0,1.0,19.5,11.4
Ryan Farris,Southern Va.,USA South,UT,Sr.,106.0,0.286,0.367,0.456,0.379,19.0,4.0,0.0,4.0,4.0,18.4,7.9
Zack Geertsen,Southern Va.,USA South,UT,Jr.,163.0,0.367,0.46,0.546,0.454,35.0,11.0,1.0,4.0,6.0,15.9,10.8
Mason Jones,Southern Va.,USA South,OF,So.,65.0,0.291,0.4,0.4,0.392,12.0,3.0,0.0,1.0,2.0,17.5,11.9
Marcelino Leonardo Jr.,Southern Va.,USA South,INF,Sr.,141.0,0.28,0.362,0.392,0.359,26.0,6.0,1.0,2.0,7.0,17.0,6.7
Seth Lloyd,Southern Va.,USA South,INF,Sr.,161.0,0.28,0.378,0.388,0.367,28.0,9.0,0.0,2.0,4.0,15.3,11.4
Conner Robley,Southern Va.,USA South,UT,So.,96.0,0.284,0.396,0.432,0.382,16.0,4.0,1.0,2.0,4.0,16.1,11.2
Garrett Stauffer,Southern Va.,USA South,INF,Jr.,96.0,0.277,0.375,0.397,0.358,16.0,5.0,1.0,1.0,3.0,18.5,10.1
Robert Stempin,Southern Va.,USA South,C,Sr.,65.0,0.258,0.383,0.369,0.364,10.0,3.0,0.0,1.0,2.0,19.9,14.1
AJ Campi,SUNY Canton,SUNYAC,UT,Jr.,106.0,0.287,0.368,0.404,0.374,19.0,6.0,1.0,1.0,3.0,15.5,8.8
Sal Diaz,SUNY Canton,SUNYAC,C,Sr.,132.0,0.356,0.453,0.587,0.454,23.0,11.0,3.0,3.0,6.0,13.1,10.4
Liam Hohertz,SUNY Canton,SUNYAC,INF,So.,20.0,0.294,0.4,0.353,0.381,4.0,1.0,0.0,0.0,1.0,16.8,10.1
Derek Maldonado,SUNY Canton,SUNYAC,UT,Sr.,75.0,0.276,0.373,0.384,0.356,13.0,4.0,0.0,1.0,3.0,20.6,9.2
Mark Maybee Jr.,SUNY Canton,SUNYAC,INF,Sr.,46.0,0.27,0.412,0.324,0.379,8.0,2.0,0.0,0.0,1.0,15.7,16.3
Chris McLean,SUNY Canton,SUNYAC,OF,Sr.,83.0,0.276,0.398,0.45,0.374,12.0,4.0,1.0,2.0,4.0,22.1,11.5
Alfredo Pabon,SUNY Canton,SUNYAC,INF,Jr.,27.0,0.208,0.296,0.25,0.319,4.0,1.0,0.0,0.0,1.0,26.8,8.8
Lance Phillips Jr.,SUNY Canton,SUNYAC,UT,Sr.,98.0,0.28,0.397,0.341,0.377,18.0,5.0,0.0,0.0,3.0,11.4,13.5
Carlos Planas,SUNY Canton,SUNYAC,OF,So.,36.0,0.258,0.361,0.323,0.356,6.0,2.0,0.0,0.0,1.0,20.8,10.2
Edilberto Rosado,SUNY Canton,SUNYAC,C,Sr.,74.0,0.225,0.351,0.273,0.327,11.0,3.0,0.0,0.0,3.0,15.7,12.6
Eliezer Vazquez,SUNY Canton,SUNYAC,UT,Jr.,90.0,0.307,0.399,0.409,0.379,18.0,5.0,0.0,1.0,3.0,17.4,9.4
Joey Demirjian,Valley Forge,United East,UT,So.,54.0,0.304,0.407,0.478,0.389,9.0,3.0,1.0,1.0,2.0,16.6,12.0
Asijan Evelyn,Valley Forge,United East,UT,So.,85.0,0.292,0.4,0.417,0.369,15.0,4.0,1.0,1.0,4.0,15.8,10.8
Zack Haines,Valley Forge,United East,UT,Sr.,98.0,0.281,0.478,0.351,0.413,16.0,3.0,1.0,0.0,12.0,11.8,15.0
Juan Lopez,Valley Forge,United East,UT,So.,136.0,0.303,0.39,0.429,0.385,26.0,7.0,1.0,2.0,4.0,13.9,9.5
Tyler Stwarka,Valley Forge,United East,UT,So.,40.0,0.286,0.375,0.429,0.356,7.0,2.0,0.0,1.0,1.0,17.6,10.7
Brayden Tunnell,Valley Forge,United East,UT,Sr.,134.0,0.32,0.431,0.454,0.415,26.0,6.0,3.0,1.0,7.0,12.5,10.9
Aaron Zapata,Valley Forge,United East,UT,Jr.,75.0,0.258,0.347,0.303,0.337,14.0,3.0,0.0,0.0,2.0,15.0,9.2
Josh Zollo,Valley Forge,United East,UT,Jr.,70.0,0.241,0.371,0.327,0.346,10.0,3.0,1.0,0.0,2.0,18.8,13.9
James Camacho,Alfred St.,AMCC,C,Sr.,42.0,0.267,0.354,0.321,0.348,8.0,2.0,0.0,0.0,1.0,16.8,10.1
Sean Connor,Alfred St.,AMCC,UT,So.,16.0,0.308,0.438,0.385,0.372,3.0,1.0,0.0,0.0,1.0,18.0,10.6
Parker Drees,Alfred St.,AMCC,OF,Jr.,28.0,0.25,0.357,0.292,0.362,5.0,1.0,0.0,0.0,1.0,19.7,10.3
Frank Grad,Alfred St.,AMCC,INF,So.,106.0,0.286,0.387,0.396,0.369,19.0,5.0,1.0,1.0,4.0,15.0,10.2
Jordan Hughes,Alfred St.,AMCC,UT,So.,202.0,0.284,0.376,0.466,0.389,31.0,12.0,1.0,6.0,5.0,20.1,10.6
Gavin Lasko,Alfred St.,AMCC,C,So.,44.0,0.297,0.409,0.432,0.38,8.0,2.0,0.0,1.0,2.0,17.1,11.5
Anthony Snyder,Alfred St.,AMCC,C,Jr.,86.0,0.277,0.395,0.388,0.376,14.0,5.0,0.0,1.0,4.0,19.8,11.4
Zach Young,Alfred St.,AMCC,INF,Jr.,140.0,0.296,0.372,0.441,0.375,26.0,7.0,1.0,3.0,3.0,19.7,8.3
Ty Palmgren,Berea,HCAC,OF,Jr.,52.0,0.288,0.384,0.421,0.357,9.0,3.0,0.0,1.0,2.0,19.4,9.4
Miguel Serra,Berea,HCAC,INF,Sr.,18.0,0.269,0.391,0.336,0.354,3.0,1.0,0.0,0.0,1.0,22.6,10.9
Peter Torbicki,Berea,HCAC,UT,So.,91.0,0.297,0.398,0.451,0.396,16.0,4.0,1.0,2.0,4.0,18.0,10.0
Efrain Zambrana,Berea,HCAC,INF,Jr.,43.0,0.241,0.346,0.295,0.351,7.0,2.0,0.0,0.0,1.0,18.0,11.4
Phillip Bentz,Illinois Tech,NACC,C,So.,128.0,0.297,0.391,0.396,0.371,25.0,6.0,1.0,1.0,5.0,19.6,9.2
Alexander Boliker,Illinois Tech,NACC,INF,So.,13.0,0.25,0.308,0.333,0.37,2.0,1.0,0.0,0.0,0.0,18.8,10.4
Matthew Bove,Illinois Tech,NACC,INF,Sr.,150.0,0.26,0.373,0.346,0.348,25.0,6.0,1.0,1.0,7.0,20.9,10.6
Christopher Degroot,Illinois Tech,NACC,UT,So.,69.0,0.305,0.406,0.458,0.378,12.0,4.0,1.0,1.0,2.0,17.0,11.5
Jack Finch,Illinois Tech,NACC,INF,So.,109.0,0.274,0.367,0.368,0.364,20.0,4.0,1.0,1.0,3.0,18.5,10.4
Jack Friar,Illinois Tech,NACC,INF,Jr.,126.0,0.259,0.365,0.352,0.346,21.0,5.0,1.0,1.0,3.0,15.1,12.3
Tyler Gutsfeld,Illinois Tech,NACC,OF,Sr.,169.0,0.342,0.408,0.605,0.454,32.0,9.0,2.0,9.0,4.0,15.3,7.9
Tanner Jenkins,Illinois Tech,NACC,OF,Jr.,26.0,0.273,0.385,0.318,0.373,5.0,1.0,0.0,0.0,1.0,17.6,10.9
Tom Kramer,Illinois Tech,NACC,C,Jr.,14.0,0.239,0.295,0.319,0.362,2.0,1.0,0.0,0.0,0.0,19.0,10.8
Xavier Miller,Illinois Tech,NACC,OF,So.,17.0,0.286,0.412,0.357,0.371,3.0,1.0,0.0,0.0,1.0,17.9,10.5
Joshua Minami,Illinois Tech,NACC,UT,Sr.,31.0,0.234,0.359,0.273,0.363,5.0,1.0,0.0,0.0,1.0,19.5,11.8
Mario Recio,Illinois Tech,NACC,INF,Jr.,41.0,0.257,0.366,0.314,0.352,7.0,2.0,0.0,0.0,1.0,21.1,11.0
Fredrick Swingle,Illinois Tech,NACC,OF,Sr.,26.0,0.227,0.346,0.273,0.353,4.0,1.0,0.0,0.0,1.0,17.3,10.3
Carson Vrba,Illinois Tech,NACC,INF,Jr.,14.0,0.26,0.369,0.346,0.352,2.0,1.0,0.0,0.0,1.0,17.1,9.5
Jonah Wilkes,Illinois Tech,NACC,C,Jr.,58.0,0.244,0.361,0.285,0.339,10.0,2.0,0.0,0.0,3.0,19.0,10.3
Luke Yachnin,Illinois Tech,NACC,OF,Jr.,83.0,0.234,0.326,0.316,0.315,13.0,3.0,0.0,1.0,2.0,24.7,9.1
Jaiden Augustine,Penn College,United East,INF,Jr.,114.0,0.3,0.429,0.408,0.386,21.0,5.0,1.0,1.0,4.0,14.1,14.6
John Croasdale,Penn College,United East,OF,Jr.,85.0,0.273,0.375,0.327,0.374,16.0,4.0,0.0,0.0,2.0,16.9,11.8
Jaydon Goebel,Penn College,United East,INF,Jr.,144.0,0.306,0.417,0.421,0.4,28.0,6.0,1.0,2.0,7.0,18.2,11.3
Dallas Griess,Penn College,United East,OF,Jr.,145.0,0.334,0.422,0.509,0.425,30.0,6.0,2.0,4.0,3.0,13.6,11.0
Bailey Grim,Penn College,United East,OF,So.,12.0,0.273,0.333,0.364,0.386,2.0,1.0,0.0,0.0,0.0,17.2,11.0
McGwire Heverly,Penn College,United East,UT,Sr.,13.0,0.25,0.308,0.333,0.366,2.0,1.0,0.0,0.0,0.0,19.9,10.6
Logan Hinnershitz,Penn College,United East,C,Sr.,43.0,0.238,0.327,0.291,0.322,7.0,2.0,0.0,0.0,1.0,19.6,10.1
Ty Jenkins,Penn College,United East,OF,Jr.,37.0,0.257,0.377,0.289,0.371,7.0,1.0,0.0,0.0,1.0,16.4,12.9
Matt Munoz,Penn College,United East,OF,Jr.,133.0,0.297,0.392,0.402,0.379,26.0,5.0,2.0,1.0,3.0,13.9,11.7
Levi Purnell,Penn College,United East,INF,So.,141.0,0.316,0.433,0.496,0.413,25.0,7.0,1.0,4.0,6.0,14.9,12.6
Ethan Stahl,Penn College,United East,INF,Sr.,64.0,0.269,0.361,0.305,0.366,13.0,2.0,0.0,0.0,1.0,18.8,10.9
Shawn Townsend,Penn College,United East,INF,Jr.,146.0,0.313,0.412,0.409,0.399,30.0,7.0,1.0,1.0,4.0,11.1,11.5
Anthony Turek,Penn College,United East,UT,So.,13.0,0.25,0.308,0.333,0.387,2.0,1.0,0.0,0.0,0.0,17.8,10.7
Parker White,Penn College,United East,INF,Sr.,17.0,0.286,0.412,0.357,0.374,3.0,1.0,0.0,0.0,1.0,17.6,10.9
Jack Boike,Adrian,Michigan Intercol. Ath. Assn.,OF,Sr.,144.0,0.278,0.403,0.378,0.376,26.0,4.0,1.0,2.0,7.0,14.0,12.5
Nic Bruder,Adrian,Michigan Intercol. Ath. Assn.,INF,Jr.,226.0,0.331,0.42,0.433,0.408,51.0,10.0,2.0,2.0,6.0,12.5,10.6
Jake Burns,Adrian,Michigan Intercol. Ath. Assn.,UT,So.,152.0,0.32,0.428,0.5,0.421,27.0,9.0,1.0,4.0,9.0,18.1,9.8
Casey Finn,Adrian,Michigan Intercol. Ath. Assn.,INF,So.,11.0,0.3,0.364,0.4,0.376,2.0,1.0,0.0,0.0,0.0,17.3,10.4
Rolando Jimenez,Adrian,Michigan Intercol. Ath. Assn.,INF,Jr.,128.0,0.302,0.406,0.412,0.392,24.0,7.0,1.0,1.0,4.0,12.8,11.5
Jaxon McGuigan,Adrian,Michigan Intercol. Ath. Assn.,OF,Jr.,29.0,0.239,0.344,0.279,0.362,5.0,1.0,0.0,0.0,1.0,17.9,9.8
Cam Oliver,Adrian,Michigan Intercol. Ath. Assn.,OF,Jr.,120.0,0.298,0.392,0.394,0.379,24.0,5.0,1.0,1.0,3.0,12.7,11.1
Christian Oliver,Adrian,Michigan Intercol. Ath. Assn.,INF,Jr.,54.0,0.246,0.372,0.38,0.353,7.0,3.0,0.0,1.0,2.0,18.3,13.5
Daniel Shipman,Adrian,Michigan Intercol. Ath. Assn.,UT,Jr.,15.0,0.313,0.406,0.391,0.372,3.0,1.0,0.0,0.0,0.0,17.9,10.8
Zach Wade,Adrian,Michigan Intercol. Ath. Assn.,C,Sr.,37.0,0.162,0.299,0.195,0.301,4.0,1.0,0.0,0.0,2.0,17.4,11.8
Brendan Willadsen,Adrian,Michigan Intercol. Ath. Assn.,UT,Jr.,30.0,0.265,0.361,0.416,0.386,5.0,1.0,0.0,1.0,1.0,17.0,10.2
Jonjay Arreazola,Albion,Michigan Intercol. Ath. Assn.,INF,So.,133.0,0.293,0.383,0.379,0.368,27.0,5.0,1.0,1.0,4.0,17.2,10.0
Vinny Cooney,Albion,Michigan Intercol. Ath. Assn.,INF,So.,77.0,0.303,0.403,0.424,0.374,15.0,3.0,1.0,1.0,3.0,17.2,10.7
Tyler Murphy,Albion,Michigan Intercol. Ath. Assn.,UT,So.,91.0,0.272,0.384,0.375,0.354,15.0,5.0,0.0,1.0,3.0,17.6,12.1
Drew Ribble,Albion,Michigan Intercol. Ath. Assn.,INF,So.,47.0,0.275,0.383,0.4,0.36,8.0,2.0,0.0,1.0,2.0,17.2,11.4
Evan Schuster,Albion,Michigan Intercol. Ath. Assn.,OF,Sr.,149.0,0.3,0.389,0.43,0.386,27.0,9.0,1.0,2.0,6.0,15.9,9.0
Carter Stahl,Albion,Michigan Intercol. Ath. Assn.,C,So.,47.0,0.3,0.404,0.45,0.378,8.0,3.0,0.0,1.0,2.0,16.1,11.1
Gavin White,Albion,Michigan Intercol. Ath. Assn.,C,So.,75.0,0.267,0.374,0.392,0.363,12.0,3.0,1.0,1.0,2.0,19.2,12.1
Tyler Boccelli,Albright,MAC Commonwealth,INF,Sr.,31.0,0.263,0.36,0.339,0.346,5.0,2.0,0.0,0.0,1.0,17.2,11.0
Christian Eckstein,Albright,MAC Commonwealth,OF,Jr.,121.0,0.289,0.371,0.372,0.353,25.0,4.0,1.0,1.0,3.0,15.3,9.3
Chris Gorla,Albright,MAC Commonwealth,C,Jr.,119.0,0.301,0.395,0.457,0.378,22.0,5.0,1.0,3.0,5.0,16.0,8.9
Aaron Kirby,Albright,MAC Commonwealth,C,Jr.,60.0,0.287,0.382,0.383,0.378,12.0,2.0,0.0,1.0,2.0,18.2,10.4
Tommy Lewman,Albright,MAC Commonwealth,C,Sr.,88.0,0.337,0.42,0.545,0.443,17.0,5.0,1.0,3.0,3.0,15.2,9.5
Owen Morais,Albright,MAC Commonwealth,INF,Jr.,37.0,0.249,0.35,0.311,0.342,6.0,2.0,0.0,0.0,1.0,21.2,11.9
Nick Banez,Allegheny,PAC,INF,Sr.,75.0,0.254,0.374,0.381,0.357,11.0,3.0,1.0,1.0,4.0,19.6,10.3
Ryan Cochran,Allegheny,PAC,OF,So.,19.0,0.25,0.368,0.312,0.377,3.0,1.0,0.0,0.0,1.0,17.5,10.5
Ty Eberhardt,Allegheny,PAC,UT,Jr.,27.0,0.261,0.37,0.435,0.381,4.0,1.0,0.0,1.0,1.0,18.0,11.3
Tommaso Floro,Allegheny,PAC,INF,Sr.,20.0,0.237,0.352,0.296,0.366,3.0,1.0,0.0,0.0,1.0,18.3,10.4
Liam Irving,Allegheny,PAC,OF,So.,123.0,0.297,0.423,0.426,0.388,22.0,5.0,1.0,2.0,6.0,15.8,12.6
Noah Philson,Allegheny,PAC,UT,So.,21.0,0.278,0.381,0.333,0.381,4.0,1.0,0.0,0.0,1.0,17.1,10.7
Tyler Skaggs,Allegheny,PAC,C,Jr.,88.0,0.25,0.352,0.381,0.348,13.0,4.0,0.0,2.0,3.0,18.3,10.4
Gavin White,Allegheny,PAC,INF,So.,75.0,0.267,0.374,0.392,0.363,12.0,3.0,1.0,1.0,2.0,19.2,12.1
Ty Akins,DeSales,MAC Freedom,OF,Jr.,104.0,0.318,0.423,0.431,0.385,21.0,5.0,1.0,1.0,4.0,17.1,11.7
