Name,Team,Conference,Position,Class,PA,AVG,OBP,SLG,WOBA,1B,2B,3B,HR,HBP,K%,BB%
Brendan Altman,Notre Dame (MD),United East,UT,So.,24.0,0.238,0.333,0.286,0.369,4.0,1.0,0.0,0.0,1.0,17.2,10.3
Hunter Beil,Notre Dame (MD),United East,UT,So.,141.0,0.281,0.383,0.438,0.38,22.0,8.0,1.0,3.0,4.0,16.7,11.2
Ben Boyer,Notre Dame (MD),United East,UT,Jr.,126.0,0.28,0.389,0.393,0.38,21.0,7.0,1.0,1.0,5.0,14.7,10.9
Chase Cichocki,Notre Dame (MD),United East,UT,So.,90.0,0.286,0.389,0.403,0.369,16.0,4.0,1.0,1.0,3.0,17.4,10.6
Keith Cochran,Notre Dame (MD),United East,UT,So.,32.0,0.259,0.375,0.407,0.375,5.0,1.0,0.0,1.0,1.0,19.8,11.3
Zane Cook,Notre Dame (MD),United East,UT,Sr.,131.0,0.296,0.42,0.407,0.401,23.0,7.0,1.0,1.0,4.0,15.4,14.7
Brennan Deremeik,Notre Dame (MD),United East,UT,So.,80.0,0.294,0.4,0.397,0.381,15.0,4.0,0.0,1.0,3.0,14.9,10.9
Rhys Eder,Notre Dame (MD),United East,UT,So.,15.0,0.333,0.467,0.417,0.374,3.0,1.0,0.0,0.0,1.0,17.7,10.3
Tyler Holton,Notre Dame (MD),United East,UT,So.,136.0,0.304,0.412,0.452,0.402,25.0,6.0,1.0,3.0,4.0,16.0,12.5
Carter Nocca,Notre Dame (MD),United East,UT,So.,30.0,0.24,0.367,0.28,0.374,5.0,1.0,0.0,0.0,1.0,18.1,11.9
Ryan Parks,Notre Dame (MD),United East,UT,So.,119.0,0.293,0.412,0.394,0.38,22.0,5.0,1.0,1.0,5.0,14.0,12.3
Mark Reineke,Notre Dame (MD),United East,UT,So.,43.0,0.27,0.372,0.405,0.375,7.0,2.0,0.0,1.0,1.0,17.7,12.4
Luke Thompson,Notre Dame (MD),United East,UT,So.,34.0,0.246,0.358,0.281,0.377,6.0,1.0,0.0,0.0,1.0,20.1,11.7
Logan Ward,Notre Dame (MD),United East,UT,So.,62.0,0.259,0.355,0.37,0.34,10.0,3.0,0.0,1.0,2.0,19.8,9.2
Andrew Athmann,UW-River Falls,WIAC,C,So.,117.0,0.297,0.393,0.436,0.392,21.0,6.0,1.0,2.0,5.0,15.1,9.5
Cade Bruett,UW-River Falls,WIAC,OF,So.,119.0,0.275,0.378,0.373,0.36,21.0,5.0,1.0,1.0,5.0,15.5,9.9
JV Castillo,UW-River Falls,WIAC,UT,So.,147.0,0.287,0.374,0.434,0.378,25.0,8.0,1.0,3.0,4.0,16.9,9.3
Connor Ducklow,UW-River Falls,WIAC,UT,So.,30.0,0.24,0.367,0.28,0.363,5.0,1.0,0.0,0.0,2.0,17.2,9.8
Ryan Eckerle,UW-River Falls,WIAC,INF,So.,59.0,0.3,0.407,0.46,0.367,10.0,3.0,1.0,1.0,2.0,18.3,11.3
