Name,Team,Conference,Position,Class,IP,BF,ERA,FIP+,K%-BB%,K%,BB%,HR%
Cade Barry,CSUN,Big West,P,Sr.,23.1,124.0,5.62,105.0,5.05,16.8,11.8,2.37
Gabriel Hernandez,CSUN,Big West,P,So.,14.3,70.0,4.86,121.0,10.15,19.7,9.5,2.67
Kody King,CSUN,Big West,P,So.,13.0,59.0,4.95,119.0,8.68,19.7,11.0,2.82
Logan Miller,CSUN,Big West,P,Jr.,29.1,133.0,4.86,121.0,9.6,19.8,10.2,2.69
Tyler Blankenship,Sacramento St.,WAC,P,Sr.,21.5,117.0,5.31,111.0,7.12,19.5,12.4,2.15
Peter Caldera,Sacramento St.,WAC,P,So.,14.2,73.0,4.91,120.0,9.18,19.8,10.6,2.47
Sean Carey,Sacramento St.,WAC,P,Jr.,18.5,94.0,4.99,118.0,7.64,18.7,11.0,2.38
Adam Enyart,Sacramento St.,WAC,P,Sr.,20.2,102.0,5.27,112.0,5.07,18.1,13.1,2.02
Jackson Halverson,Sacramento St.,WAC,P,So.,19.1,95.0,5.01,117.0,8.56,19.1,10.5,2.53
Colin Hunter,Sacramento St.,WAC,P,Sr.,51.6,234.0,4.45,132.0,10.25,19.0,8.8,2.53
Ethan Lay,Sacramento St.,WAC,P,Sr.,76.0,320.0,3.97,148.0,12.49,20.4,7.9,2.28
Kurt Marton,Sacramento St.,WAC,P,Jr.,53.0,257.0,5.03,117.0,8.64,18.5,9.9,2.76
Andrew Monson,Sacramento St.,WAC,P,Sr.,28.6,132.0,4.64,127.0,11.42,21.0,9.6,2.65
Bryce Stockton,Sacramento St.,WAC,P,Jr.,22.2,104.0,4.84,121.0,8.54,18.7,10.2,2.66
Nathan Aceves,UC Santa Barbara,Big West,P,So.,27.1,114.0,4.31,136.0,11.68,21.9,10.2,2.32
Jackson Flora,UC Santa Barbara,Big West,P,Jr.,62.6,263.0,4.3,137.0,12.76,22.3,9.5,2.58
Van Froling,UC Santa Barbara,Big West,P,So.,18.1,88.0,4.88,120.0,10.28,20.6,10.3,2.7
Chase Hoover,UC Santa Barbara,Big West,P,Jr.,21.7,102.0,4.33,136.0,12.06,24.3,12.2,2.29
Donovann Jackson,UC Santa Barbara,Big West,P,Sr.,43.2,178.0,4.21,140.0,10.86,21.6,10.8,1.97
Jake Johnson,UC Santa Barbara,Big West,P,Fr.,24.4,123.0,6.22,95.0,4.41,16.1,11.7,3.8
AJ Krodel,UC Santa Barbara,Big West,P,Jr.,27.2,126.0,4.46,132.0,11.33,22.6,11.3,2.24
Kellan Montgomery,UC Santa Barbara,Big West,P,Sr.,70.4,316.0,4.29,137.0,11.59,20.3,8.7,2.4
Raymond Olivas,UC Santa Barbara,Big West,P,So.,24.2,105.0,4.5,131.0,11.82,21.7,9.9,2.64
Nic Peterson,UC Santa Barbara,Big West,P,Jr.,16.0,78.0,4.85,121.0,9.21,19.5,10.3,2.42
Calvin Proskey,UC Santa Barbara,Big West,P,Jr.,41.3,181.0,4.63,127.0,7.88,19.7,11.8,2.1
Cole Tryba,UC Santa Barbara,Big West,P,Jr.,38.1,172.0,3.99,147.0,16.72,25.9,9.2,2.25
Cole Clark,California,ACC,P,Sr.,19.8,96.0,5.45,108.0,8.55,18.9,10.4,3.36
Oliver de la Torre,California,ACC,P,Jr.,46.2,197.0,4.39,134.0,11.55,21.3,9.7,2.58
Gavin Eddy,California,ACC,P,So.,58.0,265.0,5.41,109.0,8.56,19.6,11.1,3.54
Ethan Foley,California,ACC,P,Jr.,48.1,217.0,4.62,127.0,13.04,22.3,9.3,3.07
JJ Hollis,California,ACC,P,Jr.,14.1,73.0,5.31,111.0,9.02,18.8,9.8,2.97
Jordy Lopez,California,ACC,P,So.,21.2,110.0,5.13,115.0,8.58,18.5,10.0,2.76
Austin Turkington,California,ACC,P,Sr.,38.4,177.0,4.64,127.0,10.84,20.3,9.5,2.53
Keenan Anzai,UC Davis,Big West,P,So.,20.2,100.0,4.89,120.0,9.15,19.1,10.0,2.51
Matt Barnes,UC Davis,Big West,P,So.,37.0,167.0,4.43,133.0,11.16,21.6,10.5,2.16
Rowen Barnes,UC Davis,Big West,P,Sr.,22.2,101.0,4.38,134.0,10.45,21.3,10.8,2.08
Max Hippensteel,UC Davis,Big West,P,Sr.,15.9,80.0,5.15,114.0,9.5,21.2,11.7,2.9
Mason Lerma,UC Davis,Big West,P,Jr.,41.4,184.0,4.29,137.0,11.98,19.8,7.8,2.47
Jack Meek,UC Davis,Big West,P,Sr.,10.1,53.0,4.88,120.0,9.69,19.1,9.4,2.52
Carter Speights,UC Davis,Big West,P,Jr.,20.6,103.0,4.81,122.0,8.26,19.7,11.4,2.3
Noel Valdez,UC Davis,Big West,P,Sr.,80.3,340.0,4.0,147.0,10.71,18.4,7.7,2.12
Tyler Wood,UC Davis,Big West,P,Jr.,52.6,228.0,4.64,127.0,8.49,18.2,9.7,2.48
Braydon Wooldridge,UC Davis,Big West,P,Sr.,16.0,75.0,5.35,110.0,6.59,17.4,10.8,2.94
Jaxton Andeel,UC Irvine,Big West,P,Sr.,11.2,59.0,4.99,118.0,8.94,20.2,11.2,2.27
Ryder Brooks,UC Irvine,Big West,P,Sr.,54.0,247.0,4.5,131.0,11.22,20.8,9.6,2.27
David Butler,UC Irvine,Big West,P,Sr.,26.7,125.0,4.7,125.0,9.44,20.1,10.6,2.22
Cole Clark,UC Irvine,Big West,P,Fr.,19.8,96.0,5.45,108.0,8.55,18.9,10.4,3.36
Trevor Hansen,UC Irvine,Big West,P,Jr.,85.8,377.0,4.25,138.0,11.87,21.5,9.6,2.39
Ricky Ojeda,UC Irvine,Big West,P,Jr.,59.8,255.0,3.92,150.0,15.35,26.0,10.6,2.06
Peyton Rodgers,UC Irvine,Big West,P,So.,56.1,252.0,4.61,128.0,11.01,20.9,9.9,2.77
Jack Ross,UC Irvine,Big West,P,Sr.,35.1,161.0,5.44,108.0,8.87,19.6,10.7,3.64
Michael Barnett,UCLA,Big Ten,P,Sr.,73.4,325.0,4.36,135.0,10.34,18.6,8.3,2.31
CJ Bott,UCLA,Big Ten,P,So.,27.0,119.0,4.78,123.0,8.34,18.8,10.5,2.59
Michael Cunningham,UCLA,Big Ten,P,Sr.,16.0,83.0,5.35,110.0,7.73,18.2,10.5,2.89
Chris Grothues,UCLA,Big Ten,P,Sr.,32.2,137.0,4.67,126.0,10.26,20.9,10.7,2.68
Easton Hawk,UCLA,Big Ten,P,So.,24.0,107.0,4.45,132.0,12.16,22.0,9.8,2.49
Justin Lee,UCLA,Big Ten,P,Jr.,29.2,148.0,5.53,106.0,4.96,17.5,12.6,2.56
Ian May,UCLA,Big Ten,P,Sr.,41.9,182.0,4.53,130.0,8.43,17.6,9.2,2.47
Wylan Moss,UCLA,Big Ten,P,So.,48.1,202.0,4.09,144.0,11.73,21.5,9.8,2.07
Jack O'Connor,UCLA,Big Ten,P,Sr.,19.1,86.0,4.7,125.0,10.83,20.9,10.1,2.71
Cal Randall,UCLA,Big Ten,P,Jr.,26.1,116.0,4.67,126.0,10.69,21.8,11.1,2.43
Logan Reddemann,UCLA,Big Ten,P,Jr.,64.4,270.0,3.96,148.0,13.1,21.1,8.0,2.14
Landon Stump,UCLA,Big Ten,P,Jr.,63.5,297.0,5.02,117.0,7.57,18.5,10.9,2.58
Adrian Blanchet,UC Riverside,Big West,P,So.,12.2,57.0,5.02,117.0,8.49,20.5,12.0,2.68
Jaxon Byrd,UC Riverside,Big West,P,Sr.,19.1,98.0,5.36,110.0,7.03,17.8,10.8,2.9
Marco DiGirolamo,UC Riverside,Big West,P,Sr.,23.0,106.0,4.39,134.0,10.37,19.6,9.2,2.05
Brent Godina,UC Riverside,Big West,P,So.,14.0,86.0,5.69,103.0,7.14,19.0,11.9,2.42
Ryan Higgins,UC Riverside,Big West,P,Jr.,37.0,163.0,5.18,114.0,11.07,22.2,11.2,3.57
Matt Hudson,UC Riverside,Big West,P,Sr.,38.1,170.0,4.45,132.0,8.75,18.0,9.2,2.18
Joshua Martinez,UC Riverside,Big West,P,Jr.,58.0,288.0,4.68,126.0,10.09,20.3,10.2,2.03
Matthew O'Brien,UC Riverside,Big West,P,Sr.,62.2,292.0,4.66,126.0,8.99,18.5,9.5,2.37
Joshua Torres,UC Riverside,Big West,P,Jr.,27.3,143.0,4.95,119.0,5.75,16.4,10.7,1.95
Lleyton Grubich,Campbell,CAA,P,Jr.,44.1,194.0,4.48,131.0,8.49,18.3,9.8,2.16
Jett Music,Campbell,CAA,P,So.,24.0,113.0,4.77,123.0,11.34,22.7,11.4,2.75
Jackson Roberts,Campbell,CAA,P,Sr.,34.2,158.0,4.62,127.0,9.79,21.2,11.4,2.28
David Rossow,Campbell,CAA,P,Sr.,49.0,232.0,4.74,124.0,9.31,21.3,12.0,2.28
Zach Sabers,Campbell,CAA,P,Sr.,45.8,210.0,4.48,131.0,10.88,21.6,10.7,2.19
Mason Smith,Campbell,CAA,P,Jr.,61.0,286.0,4.76,124.0,9.26,20.5,11.3,2.42
Ethan Snyder,Campbell,CAA,P,Jr.,22.1,110.0,5.59,105.0,7.18,19.9,12.7,3.27
Caleb White,Campbell,CAA,P,Sr.,41.8,208.0,5.64,104.0,11.05,21.0,9.9,3.93
Joe Abramson,Canisius,MAAC,P,Sr.,11.5,61.0,5.89,100.0,3.24,17.0,13.8,2.58
