Name,Team,Conference,Position,Class,IP,BF,ERA,FIP+,K%-BB%,K%,BB%,HR%
Leighton Harris,Kentucky,SEC,P,So.,12.1,61.0,4.79,123.0,9.43,20.1,10.6,2.36
Nate Harris,Kentucky,SEC,P,So.,59.1,261.0,4.67,126.0,8.65,19.0,10.3,2.51
Connor Mattison,Kentucky,SEC,P,Jr.,45.1,204.0,4.2,140.0,15.13,24.5,9.3,2.63
Will Pryor,Kentucky,SEC,P,Jr.,43.6,201.0,5.06,116.0,9.59,21.5,12.0,2.94
Tommy Skelding,Kentucky,SEC,P,So.,19.2,92.0,4.8,123.0,9.4,19.8,10.4,2.54
Jackson Soucie,Kentucky,SEC,P,Sr.,30.0,131.0,4.89,120.0,11.06,21.4,10.4,3.28
Bryson Treichel,Kentucky,SEC,P,So.,61.2,288.0,4.23,139.0,12.73,22.5,9.7,2.21
Owen Basso,Lafayette,Patriot,P,Jr.,28.2,139.0,5.35,110.0,8.38,19.7,11.4,2.97
Antonio Correa,Lafayette,Patriot,P,Sr.,18.8,103.0,5.74,102.0,3.23,16.0,12.8,2.2
Trey Deitelbaum,Lafayette,Patriot,P,Jr.,17.3,85.0,5.27,112.0,7.52,19.4,11.9,2.87
Trace Florio,Lafayette,Patriot,P,Sr.,48.1,240.0,5.02,117.0,7.92,17.2,9.2,2.62
Tristan Helmick,Lafayette,Patriot,P,Jr.,45.6,222.0,4.96,119.0,7.27,19.0,11.7,2.05
Kellen Moore,Lafayette,Patriot,P,So.,21.2,122.0,5.6,105.0,7.98,19.8,11.9,2.85
Pat Walega,Lafayette,Patriot,P,Sr.,21.9,114.0,5.77,102.0,4.19,16.1,11.9,2.61
Ben Waterman,Lafayette,Patriot,P,Jr.,33.2,160.0,4.57,129.0,10.79,20.3,9.5,2.27
Trey Zaffiro,Lafayette,Patriot,P,So.,26.2,137.0,5.13,115.0,9.42,20.2,10.8,2.79
Gage Burdick,Lamar University,Southland,P,Sr.,42.0,192.0,4.6,128.0,8.06,20.4,12.3,2.09
Nathan Darden,Lamar University,Southland,P,Sr.,12.1,71.0,5.26,112.0,8.17,19.8,11.6,2.42
Cam Diaz,Lamar University,Southland,P,Sr.,45.0,227.0,5.38,109.0,9.63,20.2,10.6,3.25
Blayne Fritcher,Lamar University,Southland,P,Sr.,17.2,81.0,4.82,122.0,10.65,20.8,10.2,2.79
Landon Grigg,Lamar University,Southland,P,Sr.,57.1,274.0,4.49,131.0,9.94,19.1,9.1,2.28
Travis Lutz,Lamar University,Southland,P,Sr.,54.8,265.0,5.39,109.0,9.36,20.4,11.0,3.36
Chris Olivier,Lamar University,Southland,P,Sr.,49.3,221.0,4.76,124.0,10.06,18.8,8.8,2.87
Fabian Ramirez,Lamar University,Southland,P,Sr.,34.0,149.0,4.55,129.0,9.55,20.4,10.8,2.26
Hayden Stallings,Lamar University,Southland,P,So.,22.1,108.0,4.88,120.0,9.48,19.8,10.3,2.63
David Andolina,Lehigh,Patriot,P,Sr.,24.4,141.0,5.83,101.0,5.55,20.0,14.4,2.43
Julio Ermigiotti,Lehigh,Patriot,P,Jr.,31.9,151.0,4.75,124.0,8.77,18.8,10.0,2.34
Ralph Gariano,Lehigh,Patriot,P,Sr.,14.2,80.0,5.21,113.0,7.94,19.3,11.4,2.37
Grady Golier,Lehigh,Patriot,P,Jr.,18.7,101.0,5.41,109.0,6.31,18.0,11.7,2.43
Noah Gyauch-Quirk,Lehigh,Patriot,P,So.,26.0,120.0,4.73,124.0,9.85,21.3,11.4,2.44
Cole Kochanowicz,Lehigh,Patriot,P,So.,34.2,155.0,4.8,123.0,9.51,20.5,11.0,2.6
Tommy Lamar,Lehigh,Patriot,P,Sr.,17.8,99.0,5.82,101.0,4.63,17.7,13.1,2.55
Cole Leaman,Lehigh,Patriot,P,Sr.,33.4,156.0,4.33,136.0,8.56,21.5,13.0,1.72
Jake Mulvehill,Lehigh,Patriot,P,So.,39.0,191.0,4.97,118.0,8.3,18.5,10.2,2.6
Liam O'Hearen,Lehigh,Patriot,P,Jr.,45.2,213.0,4.57,129.0,10.63,21.8,11.1,2.1
Max Treonze,Lehigh,Patriot,P,So.,33.0,162.0,4.8,123.0,7.59,18.4,10.8,2.05
Tyler August,Liberty,CUSA,P,Jr.,35.5,173.0,4.63,127.0,13.6,23.9,10.3,2.87
Ben Blair,Liberty,CUSA,P,Jr.,67.6,298.0,4.24,139.0,11.74,21.7,9.9,2.29
Aydan Decker-Petty,Liberty,CUSA,P,Sr.,24.9,119.0,4.96,119.0,8.14,19.7,11.5,2.33
Tristan Dietrich,Liberty,CUSA,P,Jr.,17.2,95.0,5.3,111.0,7.3,19.7,12.4,2.35
Cooper Harrington,Liberty,CUSA,P,So.,35.2,163.0,4.96,119.0,9.45,20.0,10.5,2.91
Jaxon Lucas,Liberty,CUSA,P,Jr.,19.9,94.0,4.97,118.0,10.9,21.0,10.0,3.07
Josh McCusker,Liberty,CUSA,P,Sr.,31.2,141.0,4.9,120.0,7.82,19.8,12.0,2.66
Matt Porter,Liberty,CUSA,P,Sr.,25.0,119.0,4.73,124.0,9.36,21.3,11.9,2.23
Jake Potts,Liberty,CUSA,P,Sr.,28.3,140.0,5.34,110.0,7.25,19.7,12.4,2.57
Josh Swink,Liberty,CUSA,P,Jr.,31.2,154.0,5.23,112.0,6.82,17.8,11.0,2.59
Bradley Zayac,Liberty,CUSA,P,So.,36.2,171.0,4.61,128.0,9.01,18.7,9.6,2.28
Wyatt Bunch,Longwood,Big South,P,Sr.,19.6,102.0,5.55,106.0,7.46,17.9,10.4,3.22
Joe Castrichini,Longwood,Big South,P,Sr.,26.8,148.0,6.28,94.0,4.74,18.1,13.4,2.9
Jake Chadwell,Longwood,Big South,P,So.,23.0,131.0,5.33,110.0,8.61,19.5,10.9,2.41
Josh Cottrill,Longwood,Big South,P,Jr.,20.6,100.0,5.59,105.0,6.42,18.3,11.9,3.17
Jaxon Lloyd,Longwood,Big South,P,Sr.,40.2,191.0,4.92,120.0,11.26,20.9,9.6,2.77
Kyle Miller,Longwood,Big South,P,Jr.,25.5,129.0,5.51,107.0,7.26,19.7,12.4,2.88
Ethan Plesser,Longwood,Big South,P,So.,27.2,149.0,5.65,104.0,9.38,21.0,11.7,3.15
Drew Siegner,Longwood,Big South,P,Sr.,25.6,122.0,5.14,114.0,9.29,19.1,9.8,3.01
Alex Strickland,Longwood,Big South,P,So.,15.1,83.0,5.43,108.0,7.95,18.5,10.6,2.72
Connor Benge,LSU,SEC,P,Sr.,23.6,112.0,5.65,104.0,7.84,20.5,12.7,3.32
Jake Brown,LSU,SEC,P,Jr.,17.2,94.0,5.89,100.0,5.7,19.2,13.5,2.92
Zac Cowan,LSU,SEC,P,Sr.,69.6,293.0,3.86,152.0,16.86,24.3,7.5,2.68
Casan Evans,LSU,SEC,P,So.,52.2,224.0,3.81,154.0,14.38,24.3,9.9,1.89
Santiago Garcia,LSU,SEC,P,Jr.,30.0,125.0,4.86,121.0,11.6,23.3,11.7,3.36
Danny Lachenmayer,LSU,SEC,P,So.,38.0,154.0,4.07,144.0,13.83,24.6,10.8,2.33
Cooper Moore,LSU,SEC,P,Jr.,48.4,209.0,4.45,132.0,9.66,19.7,10.1,2.29
Jaden Noot,LSU,SEC,P,Jr.,32.2,142.0,4.32,136.0,12.72,23.3,10.6,2.49
DJ Primeaux,LSU,SEC,P,Jr.,14.0,66.0,4.9,120.0,9.3,20.1,10.8,2.47
Mavrick Rizy,LSU,SEC,P,So.,24.2,118.0,4.66,126.0,9.54,21.1,11.6,2.17
William Schmidt,LSU,SEC,P,So.,32.1,152.0,4.95,119.0,10.56,22.0,11.5,2.87
Cooper Williams,LSU,SEC,P,So.,20.0,89.0,4.81,122.0,9.61,20.8,11.2,2.7
Luke Cooley,Louisiana Tech,CUSA,P,Sr.,63.2,291.0,4.31,136.0,10.94,21.2,10.3,2.08
Nate Crider,Louisiana Tech,CUSA,P,Sr.,22.4,102.0,5.01,117.0,10.21,22.4,12.2,3.01
Landon Fontenot,Louisiana Tech,CUSA,P,So.,27.2,134.0,5.03,117.0,9.3,20.1,10.8,2.67
Blake Hooks,Louisiana Tech,CUSA,P,Sr.,33.8,158.0,4.42,133.0,10.85,22.6,11.7,1.69
Connor Nation,Louisiana Tech,CUSA,P,Sr.,34.7,163.0,4.79,123.0,10.91,19.8,8.9,2.9
Luke Nichols,Louisiana Tech,CUSA,P,Sr.,67.1,306.0,4.24,139.0,11.64,20.8,9.2,2.13
Kade Parker,Louisiana Tech,CUSA,P,Sr.,34.7,164.0,4.72,125.0,8.82,18.2,9.4,2.26
Brooks Roberson,Louisiana Tech,CUSA,P,So.,71.2,317.0,4.53,130.0,9.79,20.2,10.4,2.25
Jack Brown,Louisville,ACC,P,So.,42.1,210.0,5.15,114.0,6.4,17.6,11.2,2.42
Wyatt Danilowicz,Louisville,ACC,P,Sr.,33.1,145.0,4.37,135.0,12.75,25.3,12.5,2.46
Parker Detmers,Louisville,ACC,P,Jr.,17.0,77.0,4.56,129.0,9.87,20.4,10.5,2.3
Ethan Eberle,Louisville,ACC,P,So.,62.0,273.0,5.0,118.0,10.68,20.7,10.1,3.16
Colton Hartman,Louisville,ACC,P,Jr.,22.3,112.0,5.15,114.0,9.19,21.7,12.5,2.68
Peter Michael,Louisville,ACC,P,Sr.,32.3,153.0,6.36,92.0,6.17,19.5,13.3,4.36
Casen Murphy,Louisville,ACC,P,So.,16.2,93.0,5.69,103.0,7.86,18.8,10.9,2.97
TJ Schlageter,Louisville,ACC,P,Jr.,30.1,131.0,4.95,119.0,7.23,18.2,11.0,2.69
Jake Schweitzer,Louisville,ACC,P,So.,42.1,179.0,4.57,129.0,7.32,17.9,10.6,2.13
Ty Starke,Louisville,ACC,P,Jr.,18.5,91.0,5.02,117.0,8.88,20.5,11.6,2.52
Brian Foley,UMass Lowell,America East,P,Sr.,22.4,121.0,5.59,105.0,5.16,18.3,13.2,2.35
Nolan Geisler,UMass Lowell,America East,P,So.,36.0,186.0,5.11,115.0,7.43,18.2,10.7,2.37
Jake LeFrancois,UMass Lowell,America East,P,So.,20.1,102.0,5.01,117.0,8.98,20.2,11.3,2.51
Alfred Mucciarone,UMass Lowell,America East,P,Jr.,58.8,285.0,4.73,124.0,9.41,18.0,8.6,2.49
Cam Sime,UMass Lowell,America East,P,Jr.,17.8,90.0,5.31,111.0,6.06,16.6,10.5,2.59
Adam Behrens,LMU (CA),WCC,P,Jr.,31.6,154.0,5.39,109.0,6.89,16.5,9.6,3.23
Zach Bender,LMU (CA),WCC,P,So.,29.1,137.0,4.67,126.0,9.21,19.8,10.6,2.25
Johnny Casale,LMU (CA),WCC,P,So.,26.0,139.0,5.32,111.0,8.97,20.5,11.5,2.79
Alex Chavez,LMU (CA),WCC,P,So.,11.1,65.0,5.58,105.0,7.35,19.7,12.3,2.65
Jake Geis,LMU (CA),WCC,P,Sr.,18.9,91.0,4.55,129.0,12.72,23.8,11.1,2.65
Jonah Johnson,LMU (CA),WCC,P,Sr.,35.0,160.0,4.38,134.0,11.3,22.3,11.0,2.21
Avery Laine,LMU (CA),WCC,P,Sr.,67.1,304.0,4.62,127.0,9.53,19.6,10.1,2.47
Cole Stucky,LMU (CA),WCC,P,Jr.,20.2,95.0,4.6,128.0,10.36,20.5,10.2,2.29
Tanner Warady,LMU (CA),WCC,P,Sr.,12.2,78.0,5.54,106.0,7.4,18.4,11.0,2.38
Jack Donlin,Maine,America East,P,So.,11.2,55.0,5.05,116.0,8.56,19.7,11.1,2.69
Pierce Friedman,Maine,America East,P,Sr.,24.4,122.0,5.32,111.0,4.35,19.5,15.2,1.79
Gianni Gambradella,Maine,America East,P,Sr.,57.0,253.0,4.48,131.0,9.83,19.2,9.4,2.42
Sebastian Holt,Maine,America East,P,Sr.,30.2,133.0,4.59,128.0,10.45,20.0,9.5,2.7
Vaun Larisa,Maine,America East,P,Sr.,10.1,56.0,5.48,107.0,8.19,19.5,11.3,2.94
Jason Libby,Maine,America East,P,Jr.,33.1,157.0,4.77,123.0,8.21,18.8,10.6,2.28
Marshall Loch,Maine,America East,P,So.,14.1,85.0,5.28,111.0,9.39,21.1,11.8,2.42
Tommy Martin,Maine,America East,P,So.,25.0,114.0,4.62,127.0,10.41,21.1,10.7,2.46
Owen Wheeler,Maine,America East,P,Jr.,22.6,123.0,6.1,96.0,5.69,18.9,13.2,3.15
Andrew Brown,Manhattan,MAAC,P,Jr.,29.0,160.0,5.46,108.0,6.24,17.3,11.1,2.27
Andrew Castelluccio,Manhattan,MAAC,P,Sr.,24.1,123.0,5.69,103.0,7.26,17.8,10.6,3.28
Joseph Duffield,Manhattan,MAAC,P,Jr.,53.0,257.0,5.13,115.0,6.35,18.9,12.5,2.25
Chris Fidanza,Manhattan,MAAC,P,Jr.,33.0,148.0,4.47,132.0,10.86,22.4,11.5,2.31
Arnav Ghuliani,Manhattan,MAAC,P,Sr.,12.1,62.0,5.07,116.0,10.04,19.7,9.7,2.9
Trevor Hansen,Manhattan,MAAC,P,Sr.,85.8,377.0,4.25,138.0,11.87,21.5,9.6,2.39
Jackson Klein,Manhattan,MAAC,P,So.,11.0,67.0,5.67,104.0,8.72,19.6,10.9,2.79
Trey Packen,Manhattan,MAAC,P,Sr.,18.5,95.0,4.94,119.0,8.08,20.8,12.7,2.21
Braedon Romero,Manhattan,MAAC,P,Sr.,46.0,212.0,4.65,126.0,7.74,18.0,10.3,2.03
Preston Tamm,Manhattan,MAAC,P,So.,23.0,107.0,4.83,122.0,7.23,19.0,11.8,2.21
Jake Burt,Marist,MAAC,P,Sr.,27.2,133.0,5.22,113.0,6.44,17.2,10.7,2.51
Chris Diaz,Marist,MAAC,P,So.,49.7,215.0,4.36,135.0,13.75,22.4,8.7,2.96
Tyler Hartley,Marist,MAAC,P,Sr.,56.1,278.0,5.31,111.0,7.0,18.8,11.8,2.55
Caleb Kempler,Marist,MAAC,P,Sr.,37.3,168.0,4.17,141.0,12.75,22.2,9.5,2.01
Bobby LeFevre,Marist,MAAC,P,Jr.,20.0,108.0,5.26,112.0,8.26,19.3,11.1,2.63
Logan Scholl,Marist,MAAC,P,So.,25.0,135.0,5.42,108.0,8.16,19.0,10.8,2.67
Andrew Speranza,Marist,MAAC,P,Jr.,35.0,155.0,4.74,124.0,8.62,21.1,12.5,2.44
Will Taylor,Marist,MAAC,P,Sr.,48.9,218.0,5.01,117.0,8.47,18.3,9.9,2.93
Chris Ubner,Marist,MAAC,P,Sr.,33.4,162.0,5.02,117.0,6.11,19.5,13.4,1.92
Ryan VanDeWater,Marist,MAAC,P,Sr.,23.1,117.0,5.31,111.0,7.95,19.6,11.6,2.59
Blaine Albright,Marshall,Sun Belt,P,So.,17.0,76.0,4.45,132.0,11.1,21.1,10.0,2.31
Tim Baird,Marshall,Sun Belt,P,Sr.,26.8,127.0,4.44,132.0,11.31,24.9,13.6,1.88
Bryce Blevins,Marshall,Sun Belt,P,Sr.,72.6,326.0,5.07,116.0,9.14,18.1,8.9,3.28
Kenyon Collins,Marshall,Sun Belt,P,So.,14.2,84.0,5.24,112.0,7.87,19.1,11.3,2.28
Peyton Jackson,Marshall,Sun Belt,P,So.,25.1,109.0,4.44,132.0,10.11,19.8,9.6,2.2
Charlie Krebs,Marshall,Sun Belt,P,Jr.,52.1,226.0,4.45,132.0,8.61,19.2,10.6,2.07
Griffin Miller,Marshall,Sun Belt,P,Jr.,65.3,310.0,4.76,124.0,7.76,18.9,11.2,1.78
Clint Moak,Marshall,Sun Belt,P,So.,61.0,282.0,4.62,127.0,9.27,18.7,9.4,2.34
Luke Proehl,Marshall,Sun Belt,P,Jr.,18.1,87.0,4.65,126.0,11.11,21.6,10.5,2.56
Jack Smith,Marshall,Sun Belt,P,Jr.,16.4,92.0,6.33,93.0,4.66,18.0,13.3,3.2
Sam Bell,UMBC,America East,P,Jr.,16.4,82.0,5.24,112.0,5.86,18.4,12.5,2.4
Sergio Droz,UMBC,America East,P,So.,14.0,78.0,5.35,110.0,8.75,19.8,11.0,2.74
Brady Fox,UMBC,America East,P,So.,37.1,203.0,5.25,112.0,7.73,19.5,11.8,2.44
Ayden Gonzalez,UMBC,America East,P,Jr.,26.0,133.0,5.23,112.0,8.75,18.7,10.0,2.69
Cole Koonce,UMBC,America East,P,Sr.,25.5,127.0,5.38,109.0,6.09,17.8,11.7,2.67
Zach Robinson,UMBC,America East,P,Jr.,23.9,128.0,5.49,107.0,6.5,15.8,9.3,2.95
Eddie Sargent,UMBC,America East,P,Sr.,48.9,226.0,4.87,121.0,9.19,19.2,10.0,2.72
Cristofer Cespedes,Maryland,Big Ten,P,So.,30.1,144.0,4.77,123.0,10.1,21.2,11.1,2.5
Logan Hastings,Maryland,Big Ten,P,So.,55.2,260.0,4.97,118.0,7.29,18.6,11.3,2.4
Andrew Koshy,Maryland,Big Ten,P,Jr.,24.0,121.0,5.67,104.0,9.53,20.7,11.2,3.7
Alistair Morin,Maryland,Big Ten,P,Sr.,64.4,314.0,4.87,121.0,8.02,20.0,12.0,1.97
Brayden Ryan,Maryland,Big Ten,P,Jr.,53.2,242.0,4.9,120.0,9.59,19.2,9.6,3.0
Jayson Torres,Maryland,Big Ten,P,Jr.,23.7,126.0,5.1,115.0,7.23,19.9,12.7,2.15
Lance Williams,Maryland,Big Ten,P,So.,40.2,194.0,4.79,123.0,9.7,21.5,11.8,2.22
Jake Yeager,Maryland,Big Ten,P,So.,36.0,175.0,5.58,105.0,5.82,17.5,11.7,3.04
Carter Champey,UMES,NEC,P,So.,33.1,196.0,5.93,99.0,3.04,17.4,14.3,2.21
Jonathan Gonzalez,UMES,NEC,P,Sr.,78.8,327.0,3.5,168.0,16.36,24.3,8.0,1.83
Wlfredo Morales,UMES,NEC,P,Jr.,29.2,160.0,5.64,104.0,7.63,18.9,11.3,3.03
Janluis Santiago,UMES,NEC,P,So.,10.1,60.0,5.22,113.0,8.65,18.6,10.0,2.51
Justin Spencer,UMES,NEC,P,Jr.,24.9,133.0,5.77,102.0,7.76,17.0,9.2,3.64
Jonah Stepner,UMES,NEC,P,Sr.,36.2,170.0,5.11,115.0,6.95,19.2,12.3,2.53
Cade Williams,UMES,NEC,P,Sr.,43.1,231.0,6.88,85.0,0.94,13.6,12.6,3.65
Jack Levine,Massachusetts,MAC,P,Jr.,35.1,196.0,5.91,99.0,6.03,19.3,13.3,2.87
Justin Masteralexis,Massachusetts,MAC,P,Jr.,27.8,122.0,4.61,128.0,10.59,20.1,9.5,2.62
Bobby McDonough,Massachusetts,MAC,P,Jr.,22.5,118.0,5.54,106.0,5.73,16.9,11.2,2.64
Adam Merritt,Massachusetts,MAC,P,So.,18.0,102.0,5.46,108.0,8.94,21.0,12.1,2.79
Callen Powers,Massachusetts,MAC,P,Jr.,49.0,233.0,5.5,107.0,7.34,16.5,9.2,3.44
Drew Sliwkowski,Massachusetts,MAC,P,So.,16.0,95.0,5.38,109.0,7.42,20.3,12.9,2.24
Dylan Terwilliger,Massachusetts,MAC,P,Sr.,16.8,93.0,5.55,106.0,5.07,17.2,12.1,2.22
Ben Thomason,Massachusetts,MAC,P,So.,20.2,101.0,5.25,112.0,6.87,19.5,12.6,2.51
Jake Blackwell,McNeese,Southland,P,Sr.,44.2,204.0,4.33,136.0,13.96,23.7,9.7,2.71
Paul Coppinger,McNeese,Southland,P,Sr.,28.2,128.0,4.13,142.0,10.67,19.9,9.3,1.9
Brady Corcoran,McNeese,Southland,P,So.,21.1,89.0,4.41,133.0,10.66,21.0,10.3,2.41
Diego Corrales,McNeese,Southland,P,So.,25.0,104.0,4.59,128.0,10.49,20.5,10.1,2.78
Cooper Golden,McNeese,Southland,P,Sr.,65.0,288.0,4.72,125.0,9.65,18.1,8.5,2.67
Alexis Gravel,McNeese,Southland,P,Sr.,51.5,235.0,4.44,132.0,12.8,25.5,12.7,2.51
Parker Morgan,McNeese,Southland,P,Sr.,28.1,135.0,4.69,125.0,10.14,19.4,9.3,2.5
Eric Nachtsheim,McNeese,Southland,P,Sr.,19.2,92.0,4.51,130.0,11.29,20.8,9.5,2.32
David Case,Memphis,American,P,Sr.,37.8,191.0,5.55,106.0,8.89,20.5,11.6,3.36
Seth Garner,Memphis,American,P,Sr.,63.7,283.0,4.74,124.0,8.78,17.8,9.0,2.77
Will Howell,Memphis,American,P,So.,26.2,116.0,4.59,128.0,10.88,22.2,11.3,2.6
Isaac Lucas,Memphis,American,P,Jr.,29.2,145.0,5.1,115.0,7.11,18.9,11.8,2.48
Davis Oswalt,Memphis,American,P,Sr.,27.6,126.0,4.9,120.0,10.04,19.8,9.8,3.04
Caden Robinson,Memphis,American,P,Sr.,39.4,189.0,5.29,111.0,7.09,17.8,10.8,2.89
Freddy Rodriguez,Memphis,American,P,Sr.,44.9,205.0,4.53,130.0,9.5,19.6,10.1,2.29
Logan Rushing,Memphis,American,P,Sr.,22.2,118.0,5.92,99.0,7.37,22.0,14.7,3.39
Brayden Sanders,Memphis,American,P,Sr.,23.5,112.0,5.22,113.0,9.44,22.4,12.9,2.94
Charlie Smith,Memphis,American,P,Sr.,44.0,204.0,4.72,125.0,6.64,16.6,9.9,2.05
Jess Ackerman,Mercer,SoCon,P,Sr.,58.5,270.0,4.86,121.0,9.53,21.5,11.9,2.57
Lawson Cole,Mercer,SoCon,P,Jr.,19.9,89.0,4.84,121.0,7.36,17.4,10.1,2.52
Cade Cosper,Mercer,SoCon,P,Jr.,19.9,91.0,4.4,134.0,10.41,20.1,9.6,2.32
Riley Cruce,Mercer,SoCon,P,Sr.,10.0,55.0,5.37,109.0,9.2,19.6,10.3,2.94
Collin Ewaldsen,Mercer,SoCon,P,So.,25.0,111.0,4.82,122.0,11.2,21.6,10.4,3.04
Andrew Garnett,Mercer,SoCon,P,Sr.,26.2,123.0,4.49,131.0,10.27,20.2,9.9,2.18
Jackson Gaspard,Mercer,SoCon,P,Jr.,45.0,195.0,4.65,126.0,9.53,18.8,9.3,2.73
Jeb Johnson,Mercer,SoCon,P,Sr.,41.1,190.0,4.99,118.0,10.31,19.1,8.8,3.29
Braydon Kersey,Mercer,SoCon,P,So.,45.2,208.0,5.12,115.0,9.01,19.0,10.0,3.17
Troy Benko,Miami (OH),MAC,P,Sr.,36.1,166.0,5.23,112.0,9.24,18.3,9.1,3.43
Austin Berggren,Miami (OH),MAC,P,Sr.,32.1,169.0,5.43,108.0,9.61,20.8,11.2,3.23
Clayton Burke,Miami (OH),MAC,P,Sr.,67.0,311.0,5.28,111.0,7.67,18.4,10.7,3.15
Carson Byers,Miami (OH),MAC,P,Sr.,62.1,279.0,4.23,139.0,11.41,22.8,11.4,1.8
Landon Fulk,Miami (OH),MAC,P,Sr.,20.1,103.0,5.53,106.0,9.65,20.5,10.8,3.46
Jack Geiser,Miami (OH),MAC,P,So.,33.0,158.0,4.92,120.0,9.21,18.2,9.0,2.89
Kaden Pfeffer,Miami (OH),MAC,P,Sr.,34.0,148.0,4.97,118.0,9.94,19.7,9.7,3.23
Jake Tedesco,Miami (OH),MAC,P,Sr.,23.2,119.0,5.62,105.0,6.35,19.8,13.5,3.03
Nick Vardavas,Miami (OH),MAC,P,Sr.,34.2,168.0,4.84,121.0,6.68,17.6,11.0,2.11
Ryan Bilka,Miami (FL),ACC,P,Sr.,58.5,248.0,3.89,151.0,11.43,20.5,9.1,1.76
AJ Ciscar,Miami (FL),ACC,P,So.,66.2,290.0,4.44,132.0,12.39,21.1,8.7,2.43
TJ Coats,Miami (FL),ACC,P,Jr.,11.1,58.0,5.23,112.0,8.9,21.0,12.1,2.69
Lazaro Collera,Miami (FL),ACC,P,So.,14.0,68.0,4.98,118.0,9.02,20.4,11.4,2.63
Tate DeRias,Miami (FL),ACC,P,So.,43.2,196.0,4.98,118.0,8.67,18.5,9.9,2.84
Jake Dorn,Miami (FL),ACC,P,Jr.,13.2,60.0,4.83,122.0,8.45,19.1,10.7,2.5
Rob Evans,Miami (FL),ACC,P,Sr.,29.7,137.0,5.16,114.0,9.22,20.3,11.1,3.1
Michael Fernandez,Miami (FL),ACC,P,So.,16.0,78.0,5.21,113.0,9.45,20.8,11.4,3.04
Lyndon Glidewell,Miami (FL),ACC,P,Sr.,77.2,338.0,4.42,133.0,9.19,19.5,10.3,1.95
Nick Robert,Miami (FL),ACC,P,Jr.,34.4,158.0,4.98,118.0,11.14,21.3,10.2,3.29
Michael Taylor,Miami (FL),ACC,P,Sr.,21.0,94.0,4.45,132.0,10.94,22.2,11.2,2.31
Aidan Donovan,Michigan St.,Big Ten,P,So.,30.2,147.0,4.64,127.0,8.14,17.8,9.7,2.22
JD Greeley,Michigan St.,Big Ten,P,Sr.,35.1,172.0,4.76,124.0,8.71,18.8,10.1,2.32
Gannon Grundman,Michigan St.,Big Ten,P,Jr.,24.1,119.0,4.9,120.0,9.06,19.5,10.4,2.42
Nolan Higgins,Michigan St.,Big Ten,P,Sr.,48.4,238.0,5.79,102.0,5.88,17.6,11.7,3.3
Carter Monke,Michigan St.,Big Ten,P,Sr.,57.3,262.0,4.91,120.0,9.55,17.6,8.0,3.19
Logan Pikur,Michigan St.,Big Ten,P,Jr.,28.1,141.0,5.45,108.0,5.92,17.4,11.5,2.82
Kurt Barr,Michigan,Big Ten,P,Sr.,64.4,285.0,4.72,125.0,7.84,19.4,11.6,2.37
Preston Barr,Michigan,Big Ten,P,So.,18.2,83.0,4.81,122.0,8.39,18.1,9.7,2.58
Grant Bradley,Michigan,Big Ten,P,So.,16.1,85.0,4.98,118.0,9.22,20.1,10.9,2.42
Tate Carey,Michigan,Big Ten,P,So.,57.0,241.0,4.32,136.0,10.98,20.5,9.5,2.33
Max Debiec,Michigan,Big Ten,P,Sr.,28.0,120.0,4.93,119.0,6.82,19.1,12.3,2.58
Gavin DeVooght,Michigan,Big Ten,P,Jr.,28.0,130.0,4.74,124.0,8.87,19.6,10.7,2.07
David Lally Jr.,Michigan,Big Ten,P,Sr.,40.4,184.0,5.14,114.0,5.69,18.8,13.1,2.32
Cade Montgomery,Michigan,Big Ten,P,Jr.,50.8,225.0,4.47,132.0,10.65,20.4,9.7,2.32
Ollie Akens,Middle Tenn.,CUSA,P,Sr.,33.0,159.0,5.27,112.0,7.22,18.5,11.3,3.02
Chandler Alderman,Middle Tenn.,CUSA,P,Jr.,68.6,324.0,4.94,119.0,9.18,19.2,10.1,2.84
Bryant Beranek,Middle Tenn.,CUSA,P,Sr.,30.0,158.0,6.21,95.0,6.14,16.6,10.5,3.82
Landen Burch,Middle Tenn.,CUSA,P,Sr.,35.7,164.0,5.31,111.0,8.81,20.1,11.3,3.51
Matthew Driver,Middle Tenn.,CUSA,P,Sr.,15.1,84.0,5.87,100.0,8.28,18.9,10.6,3.39
Jack Fortner,Middle Tenn.,CUSA,P,Jr.,15.2,91.0,5.41,109.0,7.71,19.2,11.4,2.37
Drew Horn,Middle Tenn.,CUSA,P,Jr.,46.1,193.0,4.24,139.0,12.15,23.5,11.3,2.16
Colin Kerrigan,Middle Tenn.,CUSA,P,Jr.,29.7,147.0,4.99,118.0,6.7,18.4,11.7,2.33
Trace Phillips,Middle Tenn.,CUSA,P,Jr.,34.0,166.0,4.78,123.0,10.93,20.0,9.1,2.84
Jonny Stevens,Middle Tenn.,CUSA,P,Sr.,22.1,121.0,5.21,113.0,7.28,19.6,12.3,2.38
Cole Torbett,Middle Tenn.,CUSA,P,Jr.,37.0,182.0,5.54,106.0,8.13,18.5,10.3,3.57
Jack Bello,Minnesota,Big Ten,P,Sr.,18.1,107.0,5.86,100.0,3.67,18.5,14.9,2.25
Tyler Hemmesch,Minnesota,Big Ten,P,Jr.,29.9,133.0,4.72,125.0,7.51,19.3,11.8,1.96
Josh Kirchhoff,Minnesota,Big Ten,P,Sr.,11.2,84.0,7.19,82.0,5.68,18.3,12.7,3.18
