Name,Player_ID,#,Team,Conference,Bats,Throws,Position,Class,Height,Hometown
Jonathan Adelmann,100000,17,Bucknell,Patriot,RIGHT,RIGHT,P,Jr.,6-7,"Mount Laurel, NJ"
Jaxon Beiswenger,100001,13,Bucknell,Patriot,RIGHT,RIGHT,INF,So.,6-4,"Fargo, ND"
Frankie Bilecki,100002,28,Bucknell,Patriot,LEFT,LEFT,P,So.,6-2,"Chicago, IL"
Deacon Bowne,100003,5,Bucknell,Patriot,RIGHT,RIGHT,C,So.,5-11,"Hamilton Square, NJ"
Garrison Bullock,100004,19,Bucknell,Patriot,RIGHT,RIGHT,C,Jr.,6-2,"Concord, NC"
John Calabrese,100005,41,Bucknell,Patriot,LEFT,LEFT,OF,So.,5-10,"Staten Island, NY"
Michael Chiaravallo,100006,4,Bucknell,Patriot,RIGHT,RIGHT,OF,Jr.,6-0,"Cream Ridge, NJ"
Lleyton Coupe,100007,6,Bucknell,Patriot,LEFT,RIGHT,INF,So.,6-2,"Phoenixville, PA"
Ryan DeLaney,100008,35,Bucknell,Patriot,LEFT,LEFT,P,Sr.,6-1,"Danville, CA"
Ryan Facinelli,100009,12,Bucknell,Patriot,LEFT,RIGHT,INF,Sr.,5-11,"Whitehouse Station, NJ"
Ethan Firestein,100010,22,Bucknell,Patriot,RIGHT,RIGHT,P,Sr.,6-0,"Hollywood, FL"
Billy Fluharty,100011,11,Bucknell,Patriot,RIGHT,RIGHT,OF,Jr.,5-11,"Fredericksburg, VA"
Everett Garber,100012,24,Bucknell,Patriot,RIGHT,RIGHT,P,So.,6-3,"New York, NY"
Braden Green,100013,8,Bucknell,Patriot,RIGHT,RIGHT,INF,Fr.,5-8,"Oak Park, IL"
Tyler Hawkins,100014,30,Bucknell,Patriot,RIGHT,RIGHT,P,So.,6-4,"Santa Ana, CA"
Brady Hoar,100015,31,Bucknell,Patriot,RIGHT,RIGHT,P,Fr.,6-4,"Tampa, FL"
Samuel Janik,100016,36,Bucknell,Patriot,RIGHT,RIGHT,P,So.,5-11,"State College, PA"
Liam Jones,100017,26,Bucknell,Patriot,RIGHT,RIGHT,P,Fr.,6-1,"Alexandria, VA"
Kobe Julks,100018,29,Bucknell,Patriot,RIGHT,RIGHT,P,Sr.,6-4,"Chatham, MA"
Jack Keane,100019,27,Bucknell,Patriot,RIGHT,RIGHT,P,Fr.,6-5,"Arlington, VA"
Ty Lagoni,100020,3,Bucknell,Patriot,RIGHT,RIGHT,INF,Jr.,6-0,"Pittsburgh, PA"
Garrett Mathias,100021,38,Bucknell,Patriot,LEFT,RIGHT,INF,Fr.,5-11,"Philadelphia, PA"
Hadley Maxwell,100022,44,Bucknell,Patriot,RIGHT,RIGHT,P,Sr.,6-3,"Nashville, TN"
Luke Meyers,100023,40,Bucknell,Patriot,RIGHT,RIGHT,P,Fr.,6-0,"Tinton Falls, NJ"
Bryce Mitchell,100024,42,Bucknell,Patriot,RIGHT,RIGHT,P,So.,6-0,"Damascus, MD"
Chris Morabito,100025,10,Bucknell,Patriot,LEFT,RIGHT,OF,Jr.,6-0,"Mc Lean, VA"
AJ Murray,100026,20,Bucknell,Patriot,LEFT,RIGHT,P,So.,6-1,"Arlington, VA"
Mikey Myro,100027,9,Bucknell,Patriot,RIGHT,RIGHT,P,Sr.,6-0,"Orwigsburg, PA"
Luke Nascimento,100028,7,Bucknell,Patriot,RIGHT,RIGHT,C,Jr.,6-0,"Scarsdale, NY"
Daniel Nawrocki,100029,1,Bucknell,Patriot,RIGHT,RIGHT,OF,Fr.,5-9,"Rockville Centre, NY"
Dante Pavone,100030,16,Bucknell,Patriot,RIGHT,RIGHT,P,Jr.,6-4,"Hopkinton, MA"
Dylan Radtke,100031,25,Bucknell,Patriot,RIGHT,RIGHT,P,Jr.,5-11,"Pompano Beach, FL"
Jake Schultz,100032,21,Bucknell,Patriot,RIGHT,RIGHT,P,Jr.,6-0,"Exton, PA"
Tyler Seidman,100033,23,Bucknell,Patriot,RIGHT,LEFT,P,Fr.,6-2,"Philadelphia, PA"
Zach Selfon,100034,14,Bucknell,Patriot,RIGHT,RIGHT,INF,Jr.,5-9,"Mahwah, NJ"
Andrew Swenson,100035,2,Bucknell,Patriot,RIGHT,RIGHT,UT,Jr.,5-9,"Enola, PA"
Michael Trommer,100036,32,Bucknell,Patriot,LEFT,RIGHT,INF,Sr.,6-2,"Trevose, PA"
David Ayers,100037,2,Butler,Big East,LEFT,RIGHT,UT,Jr.,6-4,"Fishers, IN"
Logan Baker,100038,4,Butler,Big East,RIGHT,RIGHT,INF,Sr.,6-4,"Austin, TX"
Tre Benjamin,100039,33,Butler,Big East,RIGHT,RIGHT,P,Sr.,6-6,"Mundelein, IL"
Grayson Bradberry,100040,30,Butler,Big East,RIGHT,RIGHT,P,Fr.,6-0,"Columbia City, IN"
Caiden Brezinski,100041,34,Butler,Big East,LEFT,LEFT,UT,So.,6-3,"Denver, CO"
Brock Buckley,100042,21,Butler,Big East,RIGHT,RIGHT,P,Sr.,6-4,"Carmel, IN"
Will Burgess,100043,26,Butler,Big East,LEFT,LEFT,UT,Sr.,6-4,"Ashton, MD"
Ian Choi,100044,8,Butler,Big East,RIGHT,RIGHT,INF,Sr.,5-9,"Mount Pleasant, WI"
Alex Christie,100045,25,Butler,Big East,RIGHT,RIGHT,INF,Sr.,6-5,"Greenwood, IN"
Keegan Connors,100046,15,Butler,Big East,LEFT,RIGHT,C,Sr.,5-7,"Carpentersville, IL"
Logan Crock,100047,1,Butler,Big East,BOTH,RIGHT,INF,So.,5-8,"Noblesville, IN"
Gunnar Duncan,100048,12,Butler,Big East,RIGHT,RIGHT,C,So.,5-9,"Eaton, CO"
Danny Gavin,100049,3,Butler,Big East,LEFT,LEFT,OF,Jr.,5-11,"Iowa City, IA"
Gavin Gilmore,100050,27,Butler,Big East,RIGHT,RIGHT,OF,Jr.,6-3,"Eastampton, NJ"
Jack Hagen,100051,17,Butler,Big East,,,P,Sr.,6-3,"San Clemente, CA"
Aidan Hatcher,100052,32,Butler,Big East,RIGHT,RIGHT,P,Jr.,6-1,"Zionsville, IN"
Andrew Hendrickx,100053,28,Butler,Big East,RIGHT,RIGHT,P,Jr.,6-3,"Hudson, OH"
Alex Kanipe,100054,20,Butler,Big East,RIGHT,RIGHT,P,Sr.,6-2,"Radford, VA"
Niko Kreuzer,100055,16,Butler,Big East,RIGHT,RIGHT,P,So.,6-4,"Westerville, OH"
Christopher Lewis,100056,19,Butler,Big East,RIGHT,RIGHT,INF,So.,5-10,"Batesville, IN"
Simon Linde,100057,23,Butler,Big East,RIGHT,RIGHT,P,Jr.,6-1,"Kansas City, MO"
Easton Moore,100058,10,Butler,Big East,RIGHT,RIGHT,UT,Jr.,6-1,"Zionsville, IN"
Ian Regal,100059,37,Butler,Big East,LEFT,LEFT,P,So.,6-2,"Rochester, MN"
Matthew Rhoades,100060,7,Butler,Big East,LEFT,LEFT,1B,Jr.,6-3,"Monument, CO"
Connor Sackett,100061,29,Butler,Big East,RIGHT,RIGHT,C,Sr.,6-3,"Rochester, NY"
Charlie Schebler,100062,5,Butler,Big East,LEFT,RIGHT,INF,Jr.,6-2,"Batesville, IN"
Brett Sherrard,100063,24,Butler,Big East,LEFT,RIGHT,UT,Jr.,5-10,"Bloomfield, IN"
Garyson Smiddy,100064,38,Butler,Big East,LEFT,LEFT,OF,Fr.,6-7,"Defiance, OH"
Corbin Snyder,100065,13,Butler,Big East,RIGHT,RIGHT,P,So.,6-6,"Greentown, IN"
Aidan Thaxton,100066,6,Butler,Big East,RIGHT,RIGHT,INF,So.,5-11,
Alex Thomas,100067,31,Butler,Big East,LEFT,LEFT,P,Jr.,5-10,"Elkhorn, NE"
Jake Thomas,100068,14,Butler,Big East,RIGHT,RIGHT,P,Fr.,6-3,"Kansas City, MO"
Will White,100069,18,Butler,Big East,RIGHT,RIGHT,C,Jr.,5-11,"Northridge, CA"
Zak White,100070,9,Butler,Big East,RIGHT,RIGHT,P,So.,6-4,"Lafayette, CO"
Logan Wiley,100071,22,Butler,Big East,,LEFT,P,Jr.,6-0,"Wilmington, DE"
Max Winders,100072,35,Butler,Big East,RIGHT,RIGHT,P,So.,6-5,"Carmel, IN"
Brian Yadlon,100073,36,Butler,Big East,LEFT,LEFT,P,Sr.,6-2,"Tinton Falls, NJ"
Jack Zeller,100074,11,Butler,Big East,LEFT,RIGHT,UT,Fr.,5-11,"Pleasant Prairie, WI"
Nick Bonn,100075,28,Cal Poly,Big West,RIGHT,RIGHT,P,Sr.,6-0,"Laguna Beach, CA"
Daniel Camou,100076,35,Cal Poly,Big West,RIGHT,RIGHT,P,Fr.,5-11,"San Dimas, CA"
Nate Castellon,100077,7,Cal Poly,Big West,RIGHT,RIGHT,INF,So.,5-9,"Woodland Hills, CA"
Antonio Castro,100078,10,Cal Poly,Big West,LEFT,RIGHT,INF,Fr.,6-1,"Concord, CA"
Troy Cooper,100079,49,Cal Poly,Big West,RIGHT,RIGHT,P,So.,6-2,"Stevenson Ranch, CA"
Jake Downing,100080,2,Cal Poly,Big West,LEFT,RIGHT,INF,So.,5-10,"Redwood City, CA"
Chris Downs,100081,19,Cal Poly,Big West,LEFT,LEFT,P,Jr.,6-7,"Santa Clarita, CA"
Brady Estes,100082,11,Cal Poly,Big West,LEFT,LEFT,P,Fr.,6-3,"Rocklin, CA"
Cade Falsken,100083,14,Cal Poly,Big West,LEFT,RIGHT,INF,Fr.,5-9,"Newbury Park, CA"
Alejandro Garza,100084,5,Cal Poly,Big West,RIGHT,RIGHT,INF,Jr.,5-9,"Bakersfield, CA"
Cam Hoiland,100085,15,Cal Poly,Big West,LEFT,LEFT,OF,Sr.,6-2,"Bellevue, WA"
Luke Kalfsbeek,100086,47,Cal Poly,Big West,LEFT,LEFT,P,So.,6-3,"Arbuckle, CA"
Dylan Kordic,100087,4,Cal Poly,Big West,LEFT,RIGHT,OF,Sr.,6-3,"San Pedro, CA"
Erik Kvidahl,100088,24,Cal Poly,Big West,RIGHT,RIGHT,P,Sr.,6-5,"Napa, CA"
Ethan Marmie,100089,38,Cal Poly,Big West,RIGHT,RIGHT,P,Jr.,6-7,"Morgan Hill, CA"
Sean McGrath,100090,41,Cal Poly,Big West,RIGHT,RIGHT,P,Fr.,6-1,"Novato, CA"
Xander McLaurin,100091,20,Cal Poly,Big West,RIGHT,RIGHT,OF,Sr.,6-0,"Long Beach, CA"
Owen Meli,100092,33,Cal Poly,Big West,RIGHT,RIGHT,OF,Fr.,6-3,"Newbury Park, CA"
Joshua Mendoza,100093,34,Cal Poly,Big West,RIGHT,RIGHT,C,Fr.,5-9,"Rocklin, CA"
Josh Morano,100094,25,Cal Poly,Big West,LEFT,LEFT,P,Jr.,6-4,"Livermore, CA"
Casey Murray Jr.,100095,1,Cal Poly,Big West,RIGHT,RIGHT,OF,Sr.,6-2,"Riverside, CA"
Griffin Naess,100096,27,Cal Poly,Big West,RIGHT,RIGHT,P,Jr.,6-6,"Laguna Beach, CA"
Laif Palmer,100097,36,Cal Poly,Big West,RIGHT,RIGHT,P,Jr.,6-6,"Golden, CO"
Caden Pearlman,100098,46,Cal Poly,Big West,LEFT,LEFT,P,Jr.,6-3,"San Diego, CA"
Arlo Pendleton,100099,48,Cal Poly,Big West,RIGHT,RIGHT,P,Fr.,6-5,"Petaluma, CA"
Corden Pettey,100100,37,Cal Poly,Big West,RIGHT,RIGHT,P,Fr.,6-2,"Rocklin, CA"
Devin Porch,100101,23,Cal Poly,Big West,LEFT,RIGHT,OF,Fr.,5-11,"Long Beach, CA"
Henry Souza,100102,43,Cal Poly,Big West,RIGHT,LEFT,P,So.,5-10,"Lafayette, CA"
Gavin Spiridonoff,100103,12,Cal Poly,Big West,RIGHT,RIGHT,INF,Fr.,6-0,"Aliso Viejo, CA"
Ryan Tayman,100104,16,Cal Poly,Big West,RIGHT,RIGHT,C,Jr.,6-2,"Grover Beach, CA"
Braxton Thomas,100105,17,Cal Poly,Big West,LEFT,LEFT,INF,Jr.,6-2,"Patterson, CA"
Carson Turnquist,100106,32,Cal Poly,Big West,RIGHT,RIGHT,P,Jr.,6-5,"Paso Robles, CA"
Dante Vachini,100107,6,Cal Poly,Big West,LEFT,RIGHT,OF,So.,6-3,"Cotati, CA"
Vinnie Van der Wel,100108,39,Cal Poly,Big West,LEFT,RIGHT,INF,So.,6-2,"Woodland Hills, CA"
Josh Volmerding,100109,45,Cal Poly,Big West,LEFT,LEFT,P,Jr.,6-4,"Santa Rosa, CA"
Coco Vonderhaar,100110,30,Cal Poly,Big West,RIGHT,RIGHT,C,Fr.,5-11,"Palo Alto, CA"
Yahir Acevedo,100111,3,CSU Bakersfield,Big West,LEFT,LEFT,OF,Jr.,-,"Arecibo, Puerto Rico"
Brock Adamson,100112,36,CSU Bakersfield,Big West,LEFT,LEFT,P,Jr.,-,"Ankeny, IA"
Lewis Barnum,100113,5,CSU Bakersfield,Big West,RIGHT,RIGHT,UT,Sr.,5-11,"San Diego, CA"
Elgin Bennett,100114,20,CSU Bakersfield,Big West,LEFT,LEFT,OF,Sr.,6-0,"Atlanta, GA"
Saul Bolivar,100115,19,CSU Bakersfield,Big West,RIGHT,RIGHT,P,Jr.,-,"Miranda, Venezuela"
Roman Bracamonte,100116,9,CSU Bakersfield,Big West,RIGHT,RIGHT,P,Jr.,6-4,"Nogales, AZ"
CJ Brown,100117,44,CSU Bakersfield,Big West,RIGHT,RIGHT,P,Sr.,6-2,"Garden Grove, CA"
Evan Cloyd,100118,25,CSU Bakersfield,Big West,RIGHT,RIGHT,1B,Sr.,6-1,"Bakersfield, CA"
Carlos Cordero,100119,24,CSU Bakersfield,Big West,RIGHT,RIGHT,INF,Jr.,-,"Barquisimeto, Venezuela"
Matt Dobson,100120,47,CSU Bakersfield,Big West,RIGHT,RIGHT,INF,Sr.,6-1,"Mission Viejo, CA"
Brady Durkan,100121,10,CSU Bakersfield,Big West,RIGHT,RIGHT,P,Fr.,-,"Bakersfield, CA"
Davis Goodwin,100122,35,CSU Bakersfield,Big West,RIGHT,RIGHT,OF,Fr.,6-1,"Bakersfield, CA"
Levi Grothen,100123,8,CSU Bakersfield,Big West,RIGHT,RIGHT,P,Fr.,-,"Bakersfield, CA"
Jacob Gutierrez,100124,12,CSU Bakersfield,Big West,RIGHT,RIGHT,INF,Sr.,6-3,"Bakersfield, CA"
Dante Jackson,100125,39,CSU Bakersfield,Big West,LEFT,LEFT,P,Sr.,6-7,"Laguna Woods, CA"
Carter Jorissen,100126,37,CSU Bakersfield,Big West,RIGHT,RIGHT,C,Jr.,-,"Rancho Santa Margarita, CA"
Ryan King,100127,51,CSU Bakersfield,Big West,RIGHT,RIGHT,P,So.,6-4,"Bloomfield Hills, MI"
Casey Leavitt-McGee,100128,32,CSU Bakersfield,Big West,LEFT,LEFT,INF,Jr.,-,"San Francisco, CA"
Christian Lopez,100129,26,CSU Bakersfield,Big West,LEFT,LEFT,OF,Fr.,-,"Denver, CO"
Trey Mandina,100130,45,CSU Bakersfield,Big West,RIGHT,RIGHT,C,Jr.,-,"Gretna, NE"
Nick Mascaro,100131,22,CSU Bakersfield,Big West,LEFT,RIGHT,P,Sr.,6-3,"Orange, CA"
Jacob May,100132,16,CSU Bakersfield,Big West,LEFT,RIGHT,OF,So.,-,"Chula Vista, CA"
Shane McAlinden,100133,28,CSU Bakersfield,Big West,RIGHT,RIGHT,P,Jr.,6-0,"Brownstown, MI"
Taison Miller,100134,13,CSU Bakersfield,Big West,LEFT,LEFT,OF,Fr.,-,"Long Beach, CA"
Ethan Minaker,100135,7,CSU Bakersfield,Big West,LEFT,LEFT,P,Jr.,-,"Winnipeg, Canada"
Kanoa Morisaki,100136,18,CSU Bakersfield,Big West,RIGHT,RIGHT,UT,Jr.,6-0,"Honolulu, HI"
Ethan Myers,100137,40,CSU Bakersfield,Big West,RIGHT,RIGHT,P,Fr.,-,"Clovis, CA"
Al Nash,100138,11,CSU Bakersfield,Big West,RIGHT,RIGHT,UT,Jr.,-,"Mcdonough, GA"
Alex Navarrete,100139,34,CSU Bakersfield,Big West,RIGHT,RIGHT,P,Sr.,5-11,"Colton, CA"
Joe O'Regan,100140,46,CSU Bakersfield,Big West,LEFT,LEFT,P,Jr.,-,"Rancho Cucamonga, CA"
Elijah Pelayo,100141,2,CSU Bakersfield,Big West,RIGHT,RIGHT,INF,Sr.,5-11,"Pico Rivera, CA"
Nathaniel Pimentel,100142,14,CSU Bakersfield,Big West,RIGHT,RIGHT,P,Fr.,-,"Alta Loma, CA"
Payton Pudenz,100143,30,CSU Bakersfield,Big West,RIGHT,RIGHT,INF,So.,-,"Mesa, AZ"
Adam Salazar,100144,1,CSU Bakersfield,Big West,LEFT,LEFT,INF,So.,5-6,"Bakersfield, CA"
Jeter Schuerman,100145,27,CSU Bakersfield,Big West,RIGHT,RIGHT,P,Sr.,6-2,"Mead, WA"
Garrett Teunissen,100146,55,CSU Bakersfield,Big West,RIGHT,RIGHT,INF,Sr.,5-9,"Corona, CA"
Brendan Thompson,100147,23,CSU Bakersfield,Big West,RIGHT,RIGHT,INF,Fr.,-,"Grand Rapids, MI"
Joe Tootle,100148,31,CSU Bakersfield,Big West,RIGHT,RIGHT,P,Sr.,6-2,"Powell, OH"
Gethse Ulloa,100149,6,CSU Bakersfield,Big West,RIGHT,RIGHT,P,Jr.,-,"El Paso, TX"
Dusty Vela,100150,4,CSU Bakersfield,Big West,LEFT,RIGHT,INF,Sr.,5-10,"Chico, CA"
Devon Wilkes,100151,21,CSU Bakersfield,Big West,LEFT,LEFT,INF,Fr.,-,"Oxnard, CA"
Britton Beeson,100152,26,Cal St. Fullerton,Big West,RIGHT,RIGHT,OF,Jr.,6-2,"Villa Park, CA"
Armando Briseno,100153,3,Cal St. Fullerton,Big West,RIGHT,RIGHT,INF,Sr.,6-0,"Fontana, CA"
Cam Burdick,100154,2,Cal St. Fullerton,Big West,RIGHT,RIGHT,OF,Jr.,6-3,"Carlsbad, CA"
Damian Casas,100155,43,Cal St. Fullerton,Big West,LEFT,LEFT,OF,Fr.,6-1,"Fontana, CA"
Paul Contreras,100156,25,Cal St. Fullerton,Big West,RIGHT,RIGHT,OF,Jr.,6-3,"Salida, CA"
Brady Dobson,100157,34,Cal St. Fullerton,Big West,LEFT,LEFT,INF,Fr.,6-3,"Stockton, CA"
Brady Dockan,100158,51,Cal St. Fullerton,Big West,LEFT,LEFT,P,So.,6-3,"San Diego, CA"
Dylan Goff,100159,47,Cal St. Fullerton,Big West,RIGHT,RIGHT,P,Jr.,6-2,"Fontana, CA"
Chad Gurnea,100160,50,Cal St. Fullerton,Big West,RIGHT,RIGHT,UT,Jr.,6-0,"Garden Grove, CA"
Jayden Harper,100161,33,Cal St. Fullerton,Big West,RIGHT,LEFT,P,Sr.,6-4,"Fremont, CA"
Logan Hart,100162,10,Cal St. Fullerton,Big West,LEFT,LEFT,OF,Jr.,6-3,"Hughson, CA"
Chris Hernandez,100163,5,Cal St. Fullerton,Big West,RIGHT,RIGHT,P,Jr.,6-2,"Bakersfield, CA"
Joseph Jasso,100164,23,Cal St. Fullerton,Big West,RIGHT,RIGHT,P,Jr.,6-3,"South Gate, CA"
Cameron Kim,100165,9,Cal St. Fullerton,Big West,RIGHT,RIGHT,INF,Jr.,6-4,"Jurupa Valley, CA"
Andrew Kirchner,100166,19,Cal St. Fullerton,Big West,LEFT,RIGHT,INF,Sr.,6-5,"Lakewood, CA"
Jason Krakoski,100167,27,Cal St. Fullerton,Big West,RIGHT,RIGHT,P,Jr.,6-3,"Livermore, CA"
Aidan Langley,100168,18,Cal St. Fullerton,Big West,RIGHT,RIGHT,P,Jr.,6-3,"Chino Hills, CA"
Niko Lombardi,100169,28,Cal St. Fullerton,Big West,RIGHT,RIGHT,C,Sr.,5-10,"Fremont, CA"
Eli Lopez,100170,1,Cal St. Fullerton,Big West,RIGHT,RIGHT,INF,Sr.,5-9,"Whittier, CA"
Bobby Mahoney,100171,37,Cal St. Fullerton,Big West,RIGHT,RIGHT,P,Fr.,6-3,"Riverside, CA"
Landon Martin,100172,46,Cal St. Fullerton,Big West,RIGHT,RIGHT,P,So.,6-4,"La Habra, CA"
Brock Mayer,100173,55,Cal St. Fullerton,Big West,RIGHT,RIGHT,P,Sr.,6-0,"Torrance, CA"
Hunter Meyer,100174,6,Cal St. Fullerton,Big West,RIGHT,RIGHT,OF,Fr.,6-1,"Rancho Cucamonga, CA"
Devin Miller,100175,38,Cal St. Fullerton,Big West,RIGHT,RIGHT,P,Fr.,6-4,"Aledo, TX"
Nick Miller,100176,30,Cal St. Fullerton,Big West,RIGHT,RIGHT,INF,Sr.,6-2,"Ventura, CA"
Mikiah Negrete,100177,4,Cal St. Fullerton,Big West,LEFT,LEFT,P,Sr.,6-1,"Oceanside, CA"
Dylan Nieto,100178,49,Cal St. Fullerton,Big West,RIGHT,RIGHT,P,So.,6-4,"Mission Viejo, CA"
Cade O'Hara,100179,50,Cal St. Fullerton,Big West,RIGHT,RIGHT,UT,Jr.,6-0,"Tustin, CA"
Esteban Olazaba,100180,32,Cal St. Fullerton,Big West,RIGHT,RIGHT,INF,Fr.,5-8,"Riverside, CA"
Max Ortega,100181,36,Cal St. Fullerton,Big West,RIGHT,RIGHT,C,Sr.,5-11,"Stockton, CA"
Waldie Perez,100182,24,Cal St. Fullerton,Big West,RIGHT,RIGHT,C,Sr.,6-1,"San Pedro, CA"
Nick Santivanez,100183,31,Cal St. Fullerton,Big West,LEFT,RIGHT,P,So.,6-3,"Orange, CA"
Ryan Seo,100184,22,Cal St. Fullerton,Big West,RIGHT,RIGHT,P,Sr.,5-11,"Sacramento, CA"
Dylan Smith,100185,45,Cal St. Fullerton,Big West,RIGHT,RIGHT,P,So.,6-2,"Torrance, CA"
Masen Swan,100186,35,Cal St. Fullerton,Big West,BOTH,LEFT,P,Fr.,6-0,"Riverside, CA"
Ty Thomas,100187,20,Cal St. Fullerton,Big West,RIGHT,RIGHT,INF,Jr.,6-3,"San Bernardino, CA"
Derek Turner,100188,17,Cal St. Fullerton,Big West,RIGHT,RIGHT,P,Jr.,6-1,"Thousand Oaks, CA"
Bren Wilkinson,100189,39,Cal St. Fullerton,Big West,RIGHT,RIGHT,C,Sr.,5-10,"Long Beach, CA"
Andrew Wright,100190,15,Cal St. Fullerton,Big West,RIGHT,LEFT,P,Jr.,6-1,"Woodbridge, CA"
Caleb Anderson,100191,35,Long Beach St.,Big West,RIGHT,RIGHT,P,Sr.,6-5,"Menifee, CA"
Jaxon Baker,100192,33,Long Beach St.,Big West,RIGHT,LEFT,P,Fr.,6-5,"Murrieta, CA"
Cristien Banda,100193,55,Long Beach St.,Big West,LEFT,LEFT,P,Jr.,6-1,"Cerritos, CA"
Ty Borgogno,100194,1,Long Beach St.,Big West,RIGHT,RIGHT,INF,Jr.,5-10,"Chino Hills, CA"
Andrew Carter,100195,41,Long Beach St.,Big West,RIGHT,RIGHT,P,Jr.,6-2,"Rancho Cucamonga, CA"
Austin Castillo,100196,11,Long Beach St.,Big West,RIGHT,RIGHT,P,So.,5-10,"Riverside, CA"
Smith Chandler,100197,9,Long Beach St.,Big West,RIGHT,RIGHT,INF,Jr.,5-10,"Alamo, CA"
Tristan Dalzell,100198,31,Long Beach St.,Big West,LEFT,LEFT,P,Fr.,6-3,"Long Beach, CA"
Gian De Castro,100199,44,Long Beach St.,Big West,LEFT,RIGHT,INF,Fr.,6-4,"Weston, FL"
Erick Diez,100200,29,Long Beach St.,Big West,RIGHT,RIGHT,P,Sr.,6-0,"Vacaville, CA"
Easton Elliot,100201,6,Long Beach St.,Big West,LEFT,RIGHT,INF,Sr.,6-1,"Andover, KS"
Trotter Enright,100202,24,Long Beach St.,Big West,LEFT,RIGHT,INF,So.,6-2,"Newbury Park, CA"
Jake Evans,100203,5,Long Beach St.,Big West,RIGHT,RIGHT,INF,So.,5-10,"Long Beach, CA"
Jake Fields,100204,39,Long Beach St.,Big West,RIGHT,RIGHT,P,Jr.,6-0,"El Dorado Hills, CA"
Camden Gasser,100205,22,Long Beach St.,Big West,LEFT,RIGHT,INF,Sr.,5-10,"Huntingburg, IN"
Tyler Gebb,100206,32,Long Beach St.,Big West,RIGHT,RIGHT,P,Jr.,6-6,"Pleasanton, CA"
Jason Gerfers,100207,40,Long Beach St.,Big West,RIGHT,RIGHT,P,Fr.,6-2,"Calimesa, CA"
Trevor Goldenetz,100208,27,Long Beach St.,Big West,LEFT,RIGHT,OF,Fr.,6-0,"Huntington Beach, CA"
Brad Grindlinger,100209,28,Long Beach St.,Big West,RIGHT,RIGHT,P,So.,6-2,"Huntington Beach, CA"
Luke Howe,100210,49,Long Beach St.,Big West,RIGHT,RIGHT,P,Fr.,6-3,"Woodland Hills, CA"
Joey Iglesias,100211,51,Long Beach St.,Big West,RIGHT,RIGHT,P,Sr.,5-10,"San Diego, CA"
Ka'imi Kahalekai,100212,26,Long Beach St.,Big West,RIGHT,RIGHT,P,So.,6-8,"Kahului, HI"
Van Larson,100213,50,Long Beach St.,Big West,LEFT,LEFT,P,Sr.,6-0,"Mill Valley, CA"
Dylan Lina,100214,13,Long Beach St.,Big West,RIGHT,RIGHT,INF,Sr.,6-0,"Carson, CA"
Max Mendes,100215,20,Long Beach St.,Big West,RIGHT,RIGHT,P,So.,6-0,"Fresno, CA"
Collin Miskelly,100216,38,Long Beach St.,Big West,LEFT,LEFT,P,So.,6-1,"Anaheim, CA"
Reid Montgomery,100217,12,Long Beach St.,Big West,LEFT,LEFT,OF,So.,6-0,"Mission Viejo, CA"
Aaron Perez,100218,15,Long Beach St.,Big West,LEFT,LEFT,1B,Sr.,6-2,"Santa Ana, CA"
Alex Ramos,100219,37,Long Beach St.,Big West,RIGHT,RIGHT,P,Sr.,5-10,"Rancho Cucamonga, CA"
Justin Roulston,100220,42,Long Beach St.,Big West,RIGHT,RIGHT,OF,Sr.,6-4,"Los Angeles, CA"
Hogan Shelby,100221,19,Long Beach St.,Big West,RIGHT,RIGHT,P,So.,6-3,"North Richland Hills, TX"
Kaiden Smaka,100222,3,Long Beach St.,Big West,LEFT,LEFT,OF,Jr.,6-1,"Las Vegas, NV"
Conner Stewart,100223,48,Long Beach St.,Big West,RIGHT,RIGHT,C,Sr.,6-3,"Clinton, OH"
Luke Taylor,100224,7,Long Beach St.,Big West,RIGHT,RIGHT,C,So.,6-1,"Holladay, UT"
Jaeden Toki,100225,10,Long Beach St.,Big West,RIGHT,RIGHT,INF,Fr.,6-0,"Fontana, CA"
Taylor Tomlin,100226,45,Long Beach St.,Big West,RIGHT,LEFT,OF,Jr.,5-10,"Edmond, OK"
Matt Toomey,100227,23,Long Beach St.,Big West,LEFT,RIGHT,INF,So.,6-3,"Mammoth Lakes, CA"
Murchael Turner,100228,8,Long Beach St.,Big West,RIGHT,RIGHT,OF,So.,6-0,"Mableton, GA"
Mason Tymick,100229,30,Long Beach St.,Big West,RIGHT,RIGHT,P,Fr.,6-3,"Torrance, CA"
Damon Valdez,100230,16,Long Beach St.,Big West,RIGHT,RIGHT,C,Fr.,6-3,"Long Beach, CA"
Nick Williams,100231,52,Long Beach St.,Big West,LEFT,LEFT,P,So.,5-10,"La Mirada, CA"
Trent Abel,100232,14,CSUN,Big West,RIGHT,RIGHT,INF,Jr.,5-11,"San Diego, CA"
Lucas Alaniz,100233,21,CSUN,Big West,RIGHT,RIGHT,P,Sr.,6-2,"Waterford, CA"
Calix Armijo,100234,34,CSUN,Big West,RIGHT,RIGHT,P,Sr.,5-10,"Redondo Beach, CA"
Jackson Banuelos,100235,55,CSUN,Big West,LEFT,LEFT,P,So.,5-11,"Santa Clarita, CA"
Cade Barry,100236,47,CSUN,Big West,LEFT,LEFT,P,Sr.,5-10,"Simi Valley, CA"
